Variable,n_celdas,Minimo,Q05,Mediana,Media,Q95,Maximo,DE
GLI_09,921374,-0.1119846699789782,-0.015500141875812501,0.17404665525753713,0.1624832472860906,0.3088274513675392,0.6828132330338774,0.10016552822499514
GRVI_09,921374,-0.34066174931416,-0.0948635692428699,0.037073724461880495,0.04934268316104479,0.20436147200044547,0.5279076669262399,0.09579573683420853
GLI_14,921364,-1,-0.018082067840668892,0.15516778503770906,0.13568355855939448,0.2934182948969617,1,0.10564225332542888
GRVI_14,921363,-1,-0.0993037052248933,0.061876070816770504,0.045248209063739636,0.18578428803644353,1,0.09670827815832651
Delta_GLI_14_menos_09,921364,-1.1627936218068713,-0.2735903096766941,-0.02533532948059268,-0.02680014300312365,0.233499275884375,0.9082315866306474,0.15444684040787676
Delta_GRVI_14_menos_09,921363,-1.0142901821334425,-0.2520506098230892,0.0011655178311984205,-0.004094958270796679,0.2221485147457185,1.0300782081505906,0.14325390853873046
