Respuesta,RMSE_M2_CE_original,RMSE_M2_CE_corregida,MAE_M2_CE_original,MAE_M2_CE_corregida,Cor_Pearson_M2_CE_original,Cor_Pearson_M2_CE_corregida,Cor_Spearman_M2_CE_original,Cor_Spearman_M2_CE_corregida,Mejora_RMSE_porcentaje_M2_CE_original,Mejora_RMSE_porcentaje_M2_CE_corregida,Mejora_MAE_porcentaje_M2_CE_original,Mejora_MAE_porcentaje_M2_CE_corregida,R2_incremental_LOOCV_M2_CE_original,R2_incremental_LOOCV_M2_CE_corregida,Diferencia_RMSE_corregida_menos_original,Diferencia_MAE_corregida_menos_original
Macollas,1.0817379021385911,1.0817379021385929,0.8449347295343894,0.8449347295343915,0.676940300161608,0.676940300161607,0.7271453672580515,0.7271453672580515,-5.121816786837471,-5.121816786837644,-4.496960504331553,-4.496960504331813,-0.10505963645654201,-0.10505963645654609,1.7763568394002505e-15,2.1094237467877974e-15
Altura,5.485299849447537,5.485299849447543,4.473535814170775,4.473535814170784,0.3708063914901006,0.3708063914900986,0.22693871984271854,0.22693871984271854,-4.766393407882932,-4.76639340788305,-3.4641320833191847,-3.4641320833193903,-0.09759971876952955,-0.09759971876953193,6.217248937900877e-15,8.881784197001252e-15
Diametro,0.39584432157016214,0.3958443215701619,0.2767701101225551,0.27677011012255465,0.1811667847347015,0.18116678473470244,0.29480737862466616,0.29480737862466616,-1.939056022550895,-1.9390560225508378,-3.3451725239426016,-3.345172523942436,-0.039157114276876986,-0.039157114276875724,-2.220446049250313e-16,-4.440892098500626e-16
NDVI,0.014443508797365778,0.014443508797365804,0.01164207147856292,0.011642071478562941,0.6909962935696585,0.6909962935696575,0.6456412958910683,0.6456412958910683,3.384775749035038,3.384775749034864,7.4384117830770835,7.438411783076918,0.06654984429357517,0.0665498442935717,2.6020852139652106e-17,2.0816681711721685e-17
Nitratos,822.4308067547545,822.4308067547554,690.7863745569753,690.7863745569767,0.5870360001239544,0.5870360001239536,0.5265756920919932,0.5265756920919932,-1.8094409598114953,-1.809440959811608,-3.013740087910019,-3.0137400879102394,-0.036516226854934414,-0.036516226854936655,9.094947017729282e-13,1.4779288903810084e-12
Potasio_savia,425.53679005751064,425.53679005751104,336.998133547759,336.998133547759,0.548984707457704,0.5489847074577027,0.607432738933881,0.607432738933881,2.78756082557816,2.787560825578069,2.725135430608995,2.725135430608995,0.0549741669759333,0.05497416697593156,3.979039320256561e-13,0
Calcio_savia,260.5714701505454,260.5714701505448,198.59663917093124,198.59663917093079,0.7219284129215103,0.7219284129215114,0.719927881565452,0.719927881565452,-6.300071984361464,-6.3000719843612325,-3.848439128930226,-3.848439128929988,-0.12997053038804268,-0.12997053038803824,-5.684341886080801e-13,-4.547473508864641e-13
