Nodo,Respuesta,Modelo_ID,Familia,Escenario,Observado,Predicho_LOOCV,Residuo_LOOCV
5,Macollas,M1_Tratamientos,M1,Diseño_completo,8,7.190212373037859,0.8097876269621409
6,Macollas,M1_Tratamientos,M1,Diseño_completo,5.666666666666667,7.250230840258542,-1.583564173591875
7,Macollas,M1_Tratamientos,M1,Diseño_completo,6.666666666666667,5.554016620498615,1.112650046168052
8,Macollas,M1_Tratamientos,M1,Diseño_completo,5.666666666666667,6.588235294117647,-0.9215686274509798
9,Macollas,M1_Tratamientos,M1,Diseño_completo,4.666666666666667,6.213296398891966,-1.5466297322252993
10,Macollas,M1_Tratamientos,M1,Diseño_completo,6.333333333333333,5.198522622345336,1.1348107109879972
11,Macollas,M1_Tratamientos,M1,Diseño_completo,6,4.953831948291781,1.0461680517082188
12,Macollas,M1_Tratamientos,M1,Diseño_completo,5.666666666666667,4.823529411764706,0.8431372549019613
13,Macollas,M1_Tratamientos,M1,Diseño_completo,7.666666666666667,6.654761904761905,1.0119047619047619
14,Macollas,M1_Tratamientos,M1,Diseño_completo,7.333333333333333,8.035714285714286,-0.7023809523809534
15,Macollas,M1_Tratamientos,M1,Diseño_completo,7.333333333333333,7.464285714285715,-0.13095238095238226
16,Macollas,M1_Tratamientos,M1,Diseño_completo,6.666666666666667,7.083333333333331,-0.4166666666666643
17,Macollas,M1_Tratamientos,M1,Diseño_completo,5.333333333333333,5.262234533702678,0.07109879963065513
18,Macollas,M1_Tratamientos,M1,Diseño_completo,6,5.751615881809787,0.2483841181902129
19,Macollas,M1_Tratamientos,M1,Diseño_completo,6,5.485687903970449,0.5143120960295509
20,Macollas,M1_Tratamientos,M1,Diseño_completo,5.666666666666667,5.411764705882351,0.2549019607843164
21,Macollas,M1_Tratamientos,M1,Diseño_completo,6.666666666666667,6.706371191135733,-0.039704524469065916
22,Macollas,M1_Tratamientos,M1,Diseño_completo,7,6.862419205909509,0.13758079409049095
23,Macollas,M1_Tratamientos,M1,Diseño_completo,6.333333333333333,7.030470914127422,-0.6971375807940889
24,Macollas,M1_Tratamientos,M1,Diseño_completo,6.333333333333333,7.529411764705882,-1.1960784313725492
25,Macollas,M1_Tratamientos,M1,Diseño_completo,6.333333333333333,7.030470914127424,-0.6971375807940907
26,Macollas,M1_Tratamientos,M1,Diseño_completo,7.666666666666667,7.568627450980391,0.09803921568627594
27,Macollas,M1_Tratamientos,M1,Diseño_completo,7,8.960295475530932,-1.9602954755309323
28,Macollas,M1_Tratamientos,M1,Diseño_completo,9.333333333333334,7.481994459833795,1.8513388734995386
29,Macollas,M1_Tratamientos,M1,Diseño_completo,9.333333333333334,7.823529411764706,1.5098039215686283
30,Macollas,M1_Tratamientos,M1,Diseño_completo,8.666666666666666,7.701754385964913,0.9649122807017534
31,Macollas,M1_Tratamientos,M1,Diseño_completo,9.333333333333334,8.90027700831025,0.43305632502308455
32,Macollas,M1_Tratamientos,M1,Diseño_completo,7,7.490196078431374,-0.49019607843137436
33,Macollas,M1_Tratamientos,M1,Diseño_completo,6.666666666666667,7.541089566020312,-0.8744228993536449
34,Macollas,M1_Tratamientos,M1,Diseño_completo,7,7.963065558633423,-0.9630655586334234
35,Macollas,M1_Tratamientos,M1,Diseño_completo,7,6.153277931671283,0.8467220683287167
36,Macollas,M1_Tratamientos,M1,Diseño_completo,5.333333333333333,6.49019607843137,-1.1568627450980369
37,Macollas,M1_Tratamientos,M1,Diseño_completo,5,6.103416435826408,-1.103416435826408
38,Macollas,M1_Tratamientos,M1,Diseño_completo,4.666666666666667,4.772853185595567,-0.10618651892889996
39,Macollas,M1_Tratamientos,M1,Diseño_completo,6,4.921568627450985,1.0784313725490149
40,Macollas,M1_Tratamientos,M1,Diseño_completo,5,5.921568627450979,-0.9215686274509789
41,Macollas,M1_Tratamientos,M1,Diseño_completo,7.666666666666667,6.654761904761908,1.0119047619047592
42,Macollas,M1_Tratamientos,M1,Diseño_completo,7.333333333333333,7.845238095238095,-0.5119047619047619
43,Macollas,M1_Tratamientos,M1,Diseño_completo,7.666666666666667,8.178571428571429,-0.5119047619047619
44,Macollas,M1_Tratamientos,M1,Diseño_completo,7.666666666666667,7.416666666666666,0.2500000000000009
45,Macollas,M1_Tratamientos,M1,Diseño_completo,5,4.662973222530009,0.3370267774699913
46,Macollas,M1_Tratamientos,M1,Diseño_completo,4.666666666666667,4.2941176470588225,0.3725490196078445
47,Macollas,M1_Tratamientos,M1,Diseño_completo,5.333333333333333,4.553093259464451,0.7802400738688817
48,Macollas,M1_Tratamientos,M1,Diseño_completo,6.333333333333333,6.284395198522623,0.048938134810709855
49,Macollas,M1_Tratamientos,M1,Diseño_completo,7,6.6274509803921555,0.3725490196078445
50,Macollas,M1_Tratamientos,M1,Diseño_completo,4,7.408125577100645,-3.4081255771006447
51,Macollas,M1_Tratamientos,M1,Diseño_completo,6,6.72549019607843,-0.7254901960784297
52,Macollas,M1_Tratamientos,M1,Diseño_completo,7.666666666666667,8.009233610341642,-0.3425669436749752
53,Macollas,M1_Tratamientos,M1,Diseño_completo,8.666666666666666,7.3921568627451,1.2745098039215659
54,Macollas,M1_Tratamientos,M1,Diseño_completo,9.666666666666666,8.524469067405356,1.1421975992613103
55,Macollas,M1_Tratamientos,M1,Diseño_completo,10.666666666666666,8.017543859649123,2.6491228070175428
56,Macollas,M1_Tratamientos,M1,Diseño_completo,8.333333333333334,8.43213296398892,-0.09879963065558606
1,Macollas,M2_CE_original,M2,M2_CE_original,8.666666666666666,8.429917845853582,0.23674882081308368
2,Macollas,M2_CE_original,M2,M2_CE_original,8.333333333333334,9.281510401221839,-0.9481770678885049
3,Macollas,M2_CE_original,M2,M2_CE_original,7.333333333333333,8.218039712600065,-0.8847063792667322
4,Macollas,M2_CE_original,M2,M2_CE_original,7.666666666666667,7.650813083177459,0.015853583489207956
5,Macollas,M2_CE_original,M2,M2_CE_original,8,7.239201441634293,0.7607985583657069
6,Macollas,M2_CE_original,M2,M2_CE_original,5.666666666666667,7.508023403972499,-1.8413567373058317
7,Macollas,M2_CE_original,M2,M2_CE_original,6.666666666666667,5.568769800010051,1.0978968666566162
8,Macollas,M2_CE_original,M2,M2_CE_original,5.666666666666667,6.863388677668763,-1.1967220110020964
9,Macollas,M2_CE_original,M2,M2_CE_original,4.666666666666667,6.228123617381195,-1.5614569507145282
10,Macollas,M2_CE_original,M2,M2_CE_original,6.333333333333333,5.130184817766661,1.2031485155666717
11,Macollas,M2_CE_original,M2,M2_CE_original,6,4.891707240166121,1.108292759833879
12,Macollas,M2_CE_original,M2,M2_CE_original,5.666666666666667,4.756841873308261,0.909824793358406
13,Macollas,M2_CE_original,M2,M2_CE_original,7.666666666666667,6.434707626732941,1.2319590399337264
14,Macollas,M2_CE_original,M2,M2_CE_original,7.333333333333333,8.132804771585366,-0.7994714382520334
15,Macollas,M2_CE_original,M2,M2_CE_original,7.333333333333333,7.498339021142291,-0.16500568780895808
16,Macollas,M2_CE_original,M2,M2_CE_original,6.666666666666667,7.003478989557054,-0.33681232289038743
17,Macollas,M2_CE_original,M2,M2_CE_original,5.333333333333333,5.217215224871387,0.11611810846194626
18,Macollas,M2_CE_original,M2,M2_CE_original,6,5.782673292085528,0.21732670791447184
19,Macollas,M2_CE_original,M2,M2_CE_original,6,5.531104273365436,0.4688957266345639
20,Macollas,M2_CE_original,M2,M2_CE_original,5.666666666666667,5.231044918266511,0.43562174840015633
21,Macollas,M2_CE_original,M2,M2_CE_original,6.666666666666667,6.760607232005357,-0.09394056533869044
22,Macollas,M2_CE_original,M2,M2_CE_original,7,6.927662394316143,0.07233760568385694
23,Macollas,M2_CE_original,M2,M2_CE_original,6.333333333333333,6.965959964513632,-0.6326266311802993
24,Macollas,M2_CE_original,M2,M2_CE_original,6.333333333333333,7.582147630110974,-1.248814296777641
25,Macollas,M2_CE_original,M2,M2_CE_original,6.333333333333333,7.1689846066385075,-0.8356512733051744
