Respuesta,Modelo_ID,Familia,Escenario,Formula,n_predictores_nominales,Rango_LOOCV_min,Rango_LOOCV_max,n,RMSE,MAE,Sesgo,RRMSE_porcentaje,Cor_Pearson,Cor_Spearman,RMSE_M1,MAE_M1,Cor_Pearson_M1,Cor_Spearman_M1,Delta_RMSE,Mejora_RMSE_porcentaje,Delta_MAE,Mejora_MAE_porcentaje,Cambio_cor_Pearson,Cambio_cor_Spearman,R2,R2_ajustado,AIC,BIC,Sigma_residual,Rango_modelo,n_coeficientes,n_alias,SSE_LOOCV,SSE_M1,R2_incremental_LOOCV,Estado_modelo,Evidencia_integrada,Supera_M1
Altura,M2_Exploratorio_pH_T_Hv,M2,M2_Exploratorio_pH_T_Hv,Altura ~ Replication + Dose_percent + Omission_description +     Suelo_pH + Suelo_T + Suelo_Hv,6,18,18,56,5.477668815782966,4.527297386507886,-0.16337291096871034,12.243695015387479,0.4050125113205088,0.26569602530983344,5.2357437065642145,4.323755222310528,0.40922708328377283,0.24686421286505358,0.24192510921875154,-4.620644607096457,0.2035421641973585,-4.70753208107349,-0.004214571963264024,0.018831812444779855,0.5586740377211152,0.3612387388068773,339.38114298228237,377.8628251062502,4.331211498327439,18,18,0,1680.2719167024652,1535.1286810062998,-0.09454792780043814,Sin mejora frente a M1,Baja,FALSE
Calcio_savia,M2_CE_corregida,M2,M2_CE_corregida,Calcio_savia ~ Replication + Dose_percent + Omission_description +     Suelo_CE_corregida_OLS + Suelo_T,5,17,17,56,260.5714701505448,198.59663917093079,-1.0420933146206497,17.618935436404865,0.7219284129215114,0.719927881565452,245.1282160833154,191.23699964750452,0.7520331496344519,0.7373524069756787,15.443254067229418,-6.3000719843612325,7.359639523426267,-3.848439128929988,-0.03010473671294045,-0.017424525410226765,0.7671199131637816,0.6715793647181535,773.6126138961981,810.0689443294308,210.14198028987417,17,17,0,3802259.4991593123,3364919.16993056,-0.12997053038803824,Sin mejora frente a M1,Baja,FALSE
Diametro,M2_Indice_N,M2,M2_Indice_N,Diametro ~ Replication + Dose_percent + Omission_description +     Suelo_N + Suelo_T,5,17,17,56,0.3952296961921923,0.27683588203981346,0.0035982177716704406,11.895835585599576,0.18389293934360001,0.2980549088854898,0.3883146823358789,0.26781135815360324,0.16595800937799463,0.2964140514905473,0.006915013856313379,-1.7807757910972135,0.009024523886210223,-3.369731570919485,0.01793492996560539,0.0016408573949425187,0.38301946416211274,0.1298992443311846,51.23208584957877,87.68841628281147,0.3321918071903304,17,17,0,8.747564714121665,8.444144380986414,-0.03593263206376007,Sin mejora frente a M1,Baja,FALSE
Macollas,M2_Exploratorio_pH_T_Hv,M2,M2_Exploratorio_pH_T_Hv,Macollas ~ Replication + Dose_percent + Omission_description +     Suelo_pH + Suelo_T + Suelo_Hv,6,18,18,56,1.0711223016626963,0.8137511749979353,0.012920597011677597,15.620533565914322,0.6841438276206052,0.7161404798044997,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0.042089570681549615,-4.090207183343788,0.00517767634639732,-0.6403470253517035,-0.022139380808394282,-0.04905917117144132,0.7221672275609416,0.597873618838205,164.3327121837209,202.81439430768873,0.9074787553472897,18,18,0,64.24896716667476,59.29886824010896,-0.08347712314714331,Sin mejora frente a M1,Baja,FALSE
NDVI,M2_Indice_K,M2,M2_Indice_K,NDVI ~ Replication + Dose_percent + Omission_description + Suelo_K +     Suelo_T,5,17,17,56,0.014385156642562673,0.011596811423691818,0.00012034729215870081,2.0692750372039805,0.6938132397652167,0.6476160519473998,0.014949516403178582,0.012577648788047065,0.6621971212633279,0.6268918258846663,-5.643597606159092e-4,3.7751037919588786,-9.808373643552474e-4,7.798256899074554,0.031616118501888835,0.020724226062733497,0.722771008645437,0.6090360378333085,-318.68742030023213,-282.23108986699947,0.012217383335059229,17,17,0,0.01158823297133964,0.012515330278578707,0.07407693497517132,Mejora predictiva limitada,Moderada,TRUE
Nitratos,M2_Indice_N,M2,M2_Indice_N,Nitratos ~ Replication + Dose_percent + Omission_description +     Suelo_N + Suelo_T,5,17,17,56,821.5608978331218,689.6157175112377,-2.06677389532287,17.039781584686967,0.5879411363773717,0.5244880073644739,807.8138913260537,670.5769288324751,0.5947939500252721,0.5230505850930671,13.747006507068022,-1.701754160788427,19.038788678762558,-2.8391654797773196,-0.006852813647900469,0.001437422271406752,0.6452629696323756,0.49972982896873486,906.8468491750691,943.3031796083018,690.4715605856534,17,17,0,37797889.29550845,36543543.84908311,-0.034324679938144885,Sin mejora frente a M1,Baja,FALSE
Potasio_savia,M2_Indice_P,M2,M2_Indice_P,Potasio_savia ~ Replication + Dose_percent + Omission_description +     Suelo_P + Suelo_T,5,17,17,56,424.1678421439683,336.4404674248326,0.07669788242426583,9.326030294488508,0.5522234331917482,0.6082221475108658,437.7390318269848,346.4390673166771,0.5073104398071642,0.5636130330556179,-13.571189683016485,3.1002923423060116,-9.998599891844492,2.8861063416686936,0.04491299338458399,0.044609114455247845,0.6210472757888731,0.46557949149712863,832.6391986563285,869.0955290895612,355.9557684126648,17,17,0,10075428.065307945,10730465.759150255,0.061044665585343875,Mejora predictiva limitada,Moderada,TRUE
