grid_id,X,Y,Variable,Prediccion,Varianza_kriging,Error_estandar_kriging,var1.pred,var1.var
1,587191.5271684568,517550.00172497844,Hv,14.77142847846497,4.924398342972713,2.2190985428711167,14.77142847846497,4.924398342972713
2,587191.2391117347,517550.2897817006,Hv,14.77142847853152,4.924398342952687,2.2190985428666044,14.77142847853152,4.924398342952687
3,587191.5271684568,517550.2897817006,Hv,14.771428478496412,4.924398342963252,2.2190985428689847,14.771428478496412,4.924398342963252
4,587191.815225179,517550.2897817006,Hv,14.771428478474446,4.9243983429698615,2.219098542870474,14.771428478474446,4.9243983429698615
5,587190.9510550125,517550.5778384228,Hv,14.771428484996004,4.92439834100737,2.219098542428292,14.771428484996004,4.92439834100737
6,587191.2391117347,517550.5778384228,Hv,14.771428483247458,4.924398341533549,2.219098542546849,14.771428483247458,4.924398341533549
7,587191.5271684568,517550.5778384228,Hv,14.771428480735201,4.924398342289547,2.219098542717188,14.771428480735201,4.924398342289547
8,587191.815225179,517550.5778384228,Hv,14.771428479163456,4.924398342762522,2.2190985428237573,14.771428479163456,4.924398342762522
9,587192.1032819011,517550.5778384228,Hv,14.771428478604097,4.924398342930846,2.2190985428616834,14.771428478604097,4.924398342930846
10,587190.6629982904,517550.86589514493,Hv,14.771428746690892,4.924398262256912,2.2190985246844974,14.771428746690892,4.924398262256912
11,587190.9510550125,517550.86589514493,Hv,14.771428781444817,4.92439825179856,2.2190985223280557,14.771428781444817,4.92439825179856
12,587191.2391117347,517550.86589514493,Hv,14.771428700331937,4.924398276207503,2.2190985278277986,14.771428700331937,4.924398276207503
13,587191.5271684568,517550.86589514493,Hv,14.77142858379136,4.924398311277464,2.219098535729647,14.77142858379136,4.924398311277464
14,587191.815225179,517550.86589514493,Hv,14.771428510879954,4.924398333218273,2.219098540673278,14.771428510879954,4.924398333218273
15,587192.1032819011,517550.86589514493,Hv,14.771428484932043,4.924398341026618,2.219098542432629,14.771428484932043,4.924398341026618
16,587192.3913386234,517550.86589514493,Hv,14.771428479301191,4.924398342721075,2.219098542814418,14.771428479301191,4.924398342721075
17,587192.6793953455,517550.86589514493,Hv,14.771428478534824,4.924398342951693,2.2190985428663805,14.771428478534824,4.924398342951693
18,587190.3749415682,517551.1539518671,Hv,14.771433107958806,4.9243969497710545,2.2190982289594694,14.771433107958806,4.9243969497710545
19,587190.6629982904,517551.1539518671,Hv,14.771436544875886,4.92439591536411,2.219097995890247,14.771436544875886,4.92439591536411
20,587190.9510550125,517551.1539518671,Hv,14.771437590036363,4.924395600785903,2.2190979250104994,14.771437590036363,4.924395600785903
21,587191.2391117347,517551.1539518671,Hv,14.771435150715345,4.924396334974053,2.219098090435403,14.771435150715345,4.924396334974053
22,587191.5271684568,517551.1539518671,Hv,14.771431645971289,4.924397389758811,2.2190983280960785,14.771431645971289,4.924397389758811
23,587191.815225179,517551.1539518671,Hv,14.771429453294543,4.924398049619951,2.219098476773834,14.771429453294543,4.924398049619951
