grid_id,X,Y,Variable,Prediccion,Varianza_kriging,Error_estandar_kriging,var1.pred,var1.var
1,587191.5271684568,517550.00172497844,K,47.48531518552901,249.89969980292904,15.808216211923755,47.48531518552901,249.89969980292904
2,587191.2391117347,517550.2897817006,K,47.39141205909303,239.81150822924988,15.485848644141202,47.39141205909303,239.81150822924988
3,587191.5271684568,517550.2897817006,K,47.48915915754634,240.9101149504311,15.521279423759857,47.48915915754634,240.9101149504311
4,587191.815225179,517550.2897817006,K,47.588225166535864,242.67426563311346,15.578005829794565,47.588225166535864,242.67426563311346
5,587190.9510550125,517550.5778384228,K,47.27014427297452,228.7494509041388,15.124465309694052,47.27014427297452,228.7494509041388
6,587191.2391117347,517550.5778384228,K,47.37777637637934,229.21869011163062,15.139969950816633,47.37777637637934,229.21869011163062
7,587191.5271684568,517550.5778384228,K,47.49081911848143,230.65189156170214,15.18722790905905,47.49081911848143,230.65189156170214
8,587191.815225179,517550.5778384228,K,47.60569620140319,232.90676361143798,15.261283157435942,47.60569620140319,232.90676361143798
9,587192.1032819011,517550.5778384228,K,47.718584254465775,235.80161431115647,15.355833234024017,47.718584254465775,235.80161431115647
10,587190.6629982904,517550.86589514493,K,47.120969159091864,217.09626509312366,14.734186950528477,47.120969159091864,217.09626509312366
11,587190.9510550125,517550.86589514493,K,47.23411369672422,216.40839327027746,14.710825716807248,47.23411369672422,216.40839327027746
12,587191.2391117347,517550.86589514493,K,47.35831210124865,217.06539609496494,14.733139383545007,47.35831210124865,217.06539609496494
13,587191.5271684568,517550.86589514493,K,47.48975834190308,218.953984381267,14.797093781593295,47.48975834190308,218.953984381267
14,587191.815225179,517550.86589514493,K,47.623733588197666,221.85939071301397,14.89494513964432,47.623733588197666,221.85939071301397
15,587192.1032819011,517550.86589514493,K,47.75517690085608,225.51698519536106,15.01722295217598,47.75517690085608,225.51698519536106
16,587192.3913386234,517550.86589514493,K,47.87929391956259,229.66332035391667,15.154646823793575,47.87929391956259,229.66332035391667
17,587192.6793953455,517550.86589514493,K,47.99206099047301,234.07135227786847,15.299390585179152,47.99206099047301,234.07135227786847
18,587190.3749415682,517551.1539518671,K,46.94689488186128,205.61953363002277,14.339439794846337,46.94689488186128,205.61953363002277
19,587190.6629982904,517551.1539518671,K,47.05831721327159,203.03380384625652,14.248993081837625,47.05831721327159,203.03380384625652
