grid_id,X,Y,CE_pred,CE_var,CE_corregida_pred,CE_corregida_var,Diferencia_prediccion,Relacion_varianzas
1,587191.5271684568,517550.00172497844,240.12607814143973,6243.164891004301,490.08249049498505,5403.197562123358,249.95641235354532,0.8654580899999547
2,587191.2391117347,517550.2897817006,239.73130745264777,5980.201237966486,489.7152353232017,5175.613541225746,249.9839278705539,0.8654580899999391
3,587191.5271684568,517550.2897817006,240.18870916547695,6008.55799020784,490.1407561366468,5200.1551218591585,249.95204697116986,0.8654580899999406
4,587191.815225179,517550.2897817006,240.6433838688705,6054.19989017716,490.5637400132141,5239.656273430589,249.9203561443436,0.8654580899999429
5,587190.9510550125,517550.5778384228,239.20486155680956,5693.700878029675,489.22548270630307,4927.65948693045,250.0206211494935,0.8654580899999236
6,587191.2391117347,517550.5778384228,239.71733115058902,5705.660933806797,489.7022331693962,4938.010413959613,249.9849020188072,0.8654580899999239
7,587191.5271684568,517550.5778384228,240.24322711282738,5742.439083343558,490.1914741830668,4969.840361011438,249.94824707023943,0.8654580899999254
8,587191.815225179,517550.5778384228,240.76713248734632,5800.436386746074,490.678863352982,5020.034596439342,249.91173086563566,0.8654580899999281
9,587192.1032819011,517550.5778384228,241.273010553094,5875.056259245702,491.14948171754713,5084.6149687689285,249.87647116445314,0.8654580899999317
10,587190.6629982904,517550.86589514493,238.53872242784874,5393.662864285292,488.6057734746303,4667.989160627781,250.0670510467816,0.8654580899999078
11,587190.9510550125,517550.86589514493,239.09080983124676,5375.953253272209,489.11938038601176,4652.662234505753,250.028570554765,0.8654580899999071
12,587191.2391117347,517550.86589514493,239.6792136494402,5392.618635188023,489.66677245807733,4667.085424107733,249.98755880863715,0.8654580899999073
13,587191.5271684568,517550.86589514493,240.2869639043431,5440.799867669475,490.2321625202137,4708.7842615449845,249.9451986158706,0.8654580899999096
14,587191.815225179,517550.86589514493,240.89391377745937,5515.0928690178625,490.7968079871741,4773.081740592337,249.9028942097147,0.8654580899999126
15,587192.1032819011,517550.86589514493,241.47900770862267,5608.835800260143,491.3411208713355,4854.212318816297,249.8621131627128,0.8654580899999166
16,587192.3913386234,517550.86589514493,242.02268028487146,5715.383012089852,491.8468994690199,4946.424465261282,249.82421918414843,0.8654580899999217
17,587192.6793953455,517550.86589514493,242.50884569237508,5828.986913915805,492.29917914762086,5044.743881152144,249.7903334552458,0.8654580899999275
18,587190.3749415682,517551.1539518671,237.73829338869092,5099.634272805036,487.8611343395016,4413.519737439841,250.12284095081066,0.8654580899998934
19,587190.6629982904,517551.1539518671,238.30264471443942,5033.763866509033,488.3861503778456,4356.511661419369,250.08350566340616,0.8654580899998902
20,587190.9510550125,517551.1539518671,238.93153455849102,5012.170820054566,488.9712065997668,4337.823784677602,250.03967204127576,0.8654580899998889
21,587191.2391117347,517551.1539518671,239.61024456873207,5035.590188676346,489.6026105222944,4358.092266714016,249.99236595356234,0.8654580899998899
22,587191.5271684568,517551.1539518671,240.3168094426474,5099.488239145524,490.25992782449794,4413.3933514278,249.94311838185052,0.8654580899998924
23,587191.815225179,517551.1539518671,241.02438657053528,5195.522005959759,490.91818682657237,4496.50655183036,249.89380025603708,0.8654580899998958
24,587192.1032819011,517551.1539518671,241.70486062588935,5313.870314383157,491.55123184026843,4598.9320527932205,249.84637121437908,0.8654580899999009
25,587192.3913386234,517551.1539518671,242.33251678116932,5445.3302030100685,492.1351403615256,4712.705076915897,249.80262358035628,0.8654580899999065
26,587192.6793953455,517551.1539518671,242.88687633335863,5582.530277272514,492.6508610529277,4831.445991134955,249.7639847195691,0.8654580899999131
27,587192.9674520676,517551.1539518671,243.35431380039043,5720.242563227711,493.08571812850755,4950.630203107301,249.73140432811712,0.8654580899999199
28,587190.3749415682,517551.4420085892,237.36602708023992,4707.643076412874,487.51481499274934,4074.267785313422,250.14878791250942,0.8654580899998752
29,587190.6629982904,517551.4420085892,237.9971158375032,4621.9733063844315,488.1019168636315,4000.124189773861,250.1048010261283,0.8654580899998715
30,587190.9510550125,517551.4420085892,238.71492808455238,4595.181743989373,488.76969759706145,3976.937215355317,250.05476951250907,0.8654580899998706
31,587191.2391117347,517551.4420085892,239.50199355828144,4628.542853147142,489.5019046072719,4005.8098571672804,249.99991104899047,0.8654580899998714
32,587191.5271684568,517551.4420085892,240.32930145181805,4714.572474265756,490.2715491406293,4080.264888744021,249.94224768881125,0.865458089999874
33,587191.815225179,517551.4420085892,241.16021079585138,4839.9595746394525,491.04454410338366,4188.782169144084,249.88433330753227,0.8654580899998783
34,587192.1032819011,517551.4420085892,241.95648274735439,4989.984938329162,491.7853158998672,4318.622833854547,249.82883315251283,0.8654580899998843
35,587192.3913386234,517551.4420085892,242.68399784452785,5151.977660370842,492.46212319476786,4458.820745666658,249.77812535024,0.8654580899998913
36,587192.6793953455,517551.4420085892,243.3166979125564,5316.7983674339675,493.05072406805516,4601.466159993979,249.73402615549875,0.8654580899998983
37,587192.9674520676,517551.4420085892,243.83848135814117,5478.743357831356,493.536139207483,4741.622762068396,249.69765784934185,0.8654580899999058
38,587193.2555087898,517551.4420085892,244.24335354441342,5634.706467318026,493.9127918023723,4876.602296915218,249.66943825795886,0.8654580899999135
39,587190.0868848461,517551.73006531136,236.32000324000907,4442.6319864878715,486.54169901418226,3844.911793598087,250.22169577417318,0.8654580899998623
40,587190.3749415682,517551.73006531136,236.90245480938643,4264.84551226263,487.083553709174,3691.0450511872714,250.18109889978757,0.8654580899998555
41,587190.6629982904,517551.73006531136,237.6048476417255,4150.695323972957,487.73698976109927,3592.252847256952,250.13214211937375,0.8654580899998519
42,587190.9510550125,517551.73006531136,238.42539728409244,4116.645266348666,488.5003470933933,3562.78394942104,250.07494980930088,0.8654580899998499
43,587191.2391117347,517551.73006531136,239.34392958338165,4165.135861658926,489.35485769142235,3604.7505274212185,250.0109281080407,0.8654580899998512
44,587191.5271684568,517551.73006531136,240.3209798695134,4283.147470215965,490.26380757261103,3706.884628760819,249.94282770309763,0.8654580899998549
45,587191.815225179,517551.73006531136,241.30494933127403,4448.600157813234,491.17919436288713,3850.076995754119,249.8742450316131,0.8654580899998604
46,587192.1032819011,517551.73006531136,242.24285366857902,4639.160380829595,492.05172676788226,4014.998882395837,249.80887309930324,0.8654580899998671
47,587192.3913386234,517551.73006531136,243.08921664958268,4837.771966680839,492.8390982491102,4186.888886138538,249.7498815995275,0.865458089999875
48,587192.6793953455,517551.73006531136,243.8111564923702,5033.86121946799,493.5107188848559,4356.595916325249,249.69956239248572,0.8654580899998832
49,587192.9674520676,517551.73006531136,244.39022050877938,5222.048870012663,494.04942213932145,4519.464440927251,249.65920163054207,0.8654580899998915
50,587193.2555087898,517551.73006531136,244.82190806373774,5400.229667322143,494.4510210716995,4673.672453441416,249.62911300796173,0.8654580899998998
51,587193.5435655119,517551.73006531136,245.11355891835072,5567.9788679869125,494.72234386174637,4818.852356247804,249.60878494339565,0.8654580899999081
52,587189.798828124,517552.01812203357,235.22350801767226,4289.850208764697,485.5216295088419,3712.685568062968,250.29812149116964,0.8654580899998536
53,587190.0868848461,517552.01812203357,235.71016021957513,4007.24402368145,485.9743620522722,3468.101758898636,250.2642018326971,0.8654580899998436
54,587190.3749415682,517552.01812203357,236.3296514931111,3768.654277985286,486.5506747840429,3261.6123332948555,250.22102329093178,0.8654580899998356
55,587190.6629982904,517552.01812203357,237.10427159531065,3611.6840014142354,487.2713038651192,3125.761137546911,250.16703226980854,0.865458089999831
56,587190.9510550125,517552.01812203357,238.04270231289505,3566.864464798742,488.1443259616882,3086.97170699298,250.10162364879315,0.8654580899998287
57,587191.2391117347,517552.01812203357,239.12319078162292,3639.4496740956365,489.14950438414587,3149.791163593316,250.02631360252295,0.8654580899998308
58,587191.5271684568,517552.01812203357,240.28942657876306,3805.122034939855,490.23445354622567,3293.173648575331,249.9450269674626,0.8654580899998346
59,587191.815225179,517552.01812203357,241.46574147629545,4025.5841765987147,491.3287792954004,3483.974392612708,249.86303781910496,0.8654580899998414
60,587192.1032819011,517552.01812203357,242.57763833413554,4266.980987652181,492.3631769422494,3692.8932156391265,249.78553860811388,0.8654580899998491
61,587192.3913386234,517552.01812203357,243.564905189195,4507.682953593411,493.28163129751147,3901.2106793418725,249.71672610831646,0.8654580899998581
62,587192.6793953455,517552.01812203357,244.38690521082714,4737.184179399911,494.04633791763615,4099.834371881036,249.659432706809,0.8654580899998673
63,587192.9674520676,517552.01812203357,245.02353499408247,4952.07428281461,494.63859460499884,4285.812750342241,249.61505961091638,0.8654580899998765
64,587193.2555087898,517552.01812203357,245.47368035043598,5152.408834888326,495.0573648300149,4459.193909140991,249.5836844795789,0.8654580899998865
65,587193.5435655119,517552.01812203357,245.75174688242396,5339.390354742959,495.31605012472346,4621.018578179705,249.5643032422995,0.8654580899998954
66,587193.8316222341,517552.01812203357,245.8828507798038,5514.240354183747,495.43801608045624,4772.343924732262,249.55516530065245,0.8654580899999045
67,587189.5107714018,517552.3061787557,234.13133325587359,4277.740627241909,484.5055793279403,3702.205232767539,250.37424607206674,0.8654580899998491
68,587189.798828124,517552.3061787557,234.49992670470488,3913.9439754890673,484.84848181338805,3387.354477393134,250.34855510868317,0.8654580899998362
69,587190.0868848461,517552.3061787557,234.98839803838587,3548.465067711299,485.3029066951115,3071.047799932523,250.31450865672565,0.8654580899998257
70,587190.3749415682,517552.3061787557,235.62997737491452,3222.037645049793,485.8997679518842,2788.5385461922956,250.26979057696968,0.865458089999815
71,587190.6629982904,517552.3061787557,236.4690868747093,2996.921543442091,486.6803915195434,2593.7099948666687,250.2113046448341,0.8654580899998079
72,587190.9510550125,517552.3061787557,237.5404029691439,2934.6064566487603,487.6770368821961,2539.778898872336,250.13663391305218,0.8654580899998064
73,587191.2391117347,517552.3061787557,238.82521392416947,3048.133807653467,488.87229651365675,2638.032063235615,250.04708258948727,0.8654580899998091
74,587191.5271684568,517552.3061787557,240.23608260217262,3287.2758853392293,490.18482764480325,2844.999509028136,249.94874504263063,0.8654580899998137
