grid_id,X,Y,Variable,Prediccion,Varianza_kriging,Error_estandar_kriging,var1.pred,var1.var
1,587191.5271684568,517550.00172497844,CE,240.12607814143973,6243.164891004301,79.0137006537746,240.12607814143973,6243.164891004301
2,587191.2391117347,517550.2897817006,CE,239.73130745264777,5980.201237966486,77.3317608616698,239.73130745264777,5980.201237966486
3,587191.5271684568,517550.2897817006,CE,240.18870916547695,6008.55799020784,77.5148888292297,240.18870916547695,6008.55799020784
4,587191.815225179,517550.2897817006,CE,240.6433838688705,6054.19989017716,77.80873916326597,240.6433838688705,6054.19989017716
5,587190.9510550125,517550.5778384228,CE,239.20486155680956,5693.700878029675,75.45661586653402,239.20486155680956,5693.700878029675
6,587191.2391117347,517550.5778384228,CE,239.71733115058902,5705.660933806797,75.5358254989432,239.71733115058902,5705.660933806797
7,587191.5271684568,517550.5778384228,CE,240.24322711282738,5742.439083343558,75.77888283251184,240.24322711282738,5742.439083343558
8,587191.815225179,517550.5778384228,CE,240.76713248734632,5800.436386746074,76.16059602409946,240.76713248734632,5800.436386746074
9,587192.1032819011,517550.5778384228,CE,241.273010553094,5875.056259245702,76.64891557775428,241.273010553094,5875.056259245702
10,587190.6629982904,517550.86589514493,CE,238.53872242784874,5393.662864285292,73.44156087860124,238.53872242784874,5393.662864285292
11,587190.9510550125,517550.86589514493,CE,239.09080983124676,5375.953253272209,73.32089233821564,239.09080983124676,5375.953253272209
12,587191.2391117347,517550.86589514493,CE,239.6792136494402,5392.618635188023,73.4344512826781,239.6792136494402,5392.618635188023
13,587191.5271684568,517550.86589514493,CE,240.2869639043431,5440.799867669475,73.76177782340577,240.2869639043431,5440.799867669475
14,587191.815225179,517550.86589514493,CE,240.89391377745937,5515.0928690178625,74.26367126003038,240.89391377745937,5515.0928690178625
15,587192.1032819011,517550.86589514493,CE,241.47900770862267,5608.835800260143,74.89216114026983,241.47900770862267,5608.835800260143
16,587192.3913386234,517550.86589514493,CE,242.02268028487146,5715.383012089852,75.60015219620826,242.02268028487146,5715.383012089852
17,587192.6793953455,517550.86589514493,CE,242.50884569237508,5828.986913915805,76.34780228608945,242.50884569237508,5828.986913915805
18,587190.3749415682,517551.1539518671,CE,237.73829338869092,5099.634272805036,71.41172363698439,237.73829338869092,5099.634272805036
19,587190.6629982904,517551.1539518671,CE,238.30264471443942,5033.763866509033,70.94902301306927,238.30264471443942,5033.763866509033
20,587190.9510550125,517551.1539518671,CE,238.93153455849102,5012.170820054566,70.79668650476918,238.93153455849102,5012.170820054566
21,587191.2391117347,517551.1539518671,CE,239.61024456873207,5035.590188676346,70.96189251053234,239.61024456873207,5035.590188676346
22,587191.5271684568,517551.1539518671,CE,240.3168094426474,5099.488239145524,71.41070115287711,240.3168094426474,5099.488239145524
23,587191.815225179,517551.1539518671,CE,241.02438657053528,5195.522005959759,72.07996951969221,241.02438657053528,5195.522005959759
24,587192.1032819011,517551.1539518671,CE,241.70486062588935,5313.870314383157,72.8962983585803,241.70486062588935,5313.870314383157
25,587192.3913386234,517551.1539518671,CE,242.33251678116932,5445.3302030100685,73.7924806671389,242.33251678116932,5445.3302030100685
26,587192.6793953455,517551.1539518671,CE,242.88687633335863,5582.530277272514,74.71633206516842,242.88687633335863,5582.530277272514
27,587192.9674520676,517551.1539518671,CE,243.35431380039043,5720.242563227711,75.63228519109886,243.35431380039043,5720.242563227711
28,587190.3749415682,517551.4420085892,CE,237.36602708023992,4707.643076412874,68.61226622414445,237.36602708023992,4707.643076412874
29,587190.6629982904,517551.4420085892,CE,237.9971158375032,4621.9733063844315,67.98509620780449,237.9971158375032,4621.9733063844315
30,587190.9510550125,517551.4420085892,CE,238.71492808455238,4595.181743989373,67.78776987030457,238.71492808455238,4595.181743989373
31,587191.2391117347,517551.4420085892,CE,239.50199355828144,4628.542853147142,68.03339513170823,239.50199355828144,4628.542853147142
32,587191.5271684568,517551.4420085892,CE,240.32930145181805,4714.572474265756,68.66274444169673,240.32930145181805,4714.572474265756
33,587191.815225179,517551.4420085892,CE,241.16021079585138,4839.9595746394525,69.56981798624639,241.16021079585138,4839.9595746394525
34,587192.1032819011,517551.4420085892,CE,241.95648274735439,4989.984938329162,70.63982544095903,241.95648274735439,4989.984938329162
35,587192.3913386234,517551.4420085892,CE,242.68399784452785,5151.977660370842,71.77727816217917,242.68399784452785,5151.977660370842
36,587192.6793953455,517551.4420085892,CE,243.3166979125564,5316.7983674339675,72.91637928088564,243.3166979125564,5316.7983674339675
37,587192.9674520676,517551.4420085892,CE,243.83848135814117,5478.743357831356,74.01853388058531,243.83848135814117,5478.743357831356
38,587193.2555087898,517551.4420085892,CE,244.24335354441342,5634.706467318026,75.0646818904738,244.24335354441342,5634.706467318026
39,587190.0868848461,517551.73006531136,CE,236.32000324000907,4442.6319864878715,66.65307184584871,236.32000324000907,4442.6319864878715
40,587190.3749415682,517551.73006531136,CE,236.90245480938643,4264.84551226263,65.30578467687705,236.90245480938643,4264.84551226263
41,587190.6629982904,517551.73006531136,CE,237.6048476417255,4150.695323972957,64.42589016826199,237.6048476417255,4150.695323972957
42,587190.9510550125,517551.73006531136,CE,238.42539728409244,4116.645266348666,64.16108841306128,238.42539728409244,4116.645266348666
43,587191.2391117347,517551.73006531136,CE,239.34392958338165,4165.135861658926,64.53786378289047,239.34392958338165,4165.135861658926
44,587191.5271684568,517551.73006531136,CE,240.3209798695134,4283.147470215965,65.44575975734382,240.3209798695134,4283.147470215965
45,587191.815225179,517551.73006531136,CE,241.30494933127403,4448.600157813234,66.69782723457514,241.30494933127403,4448.600157813234
46,587192.1032819011,517551.73006531136,CE,242.24285366857902,4639.160380829595,68.11138216795777,242.24285366857902,4639.160380829595
47,587192.3913386234,517551.73006531136,CE,243.08921664958268,4837.771966680839,69.55409381683323,243.08921664958268,4837.771966680839
48,587192.6793953455,517551.73006531136,CE,243.8111564923702,5033.86121946799,70.94970908656349,243.8111564923702,5033.86121946799
49,587192.9674520676,517551.73006531136,CE,244.39022050877938,5222.048870012663,72.2637451978007,244.39022050877938,5222.048870012663
50,587193.2555087898,517551.73006531136,CE,244.82190806373774,5400.229667322143,73.48625495507403,244.82190806373774,5400.229667322143
51,587193.5435655119,517551.73006531136,CE,245.11355891835072,5567.9788679869125,74.61889082522544,245.11355891835072,5567.9788679869125
52,587189.798828124,517552.01812203357,CE,235.22350801767226,4289.850208764697,65.4969480874086,235.22350801767226,4289.850208764697
53,587190.0868848461,517552.01812203357,CE,235.71016021957513,4007.24402368145,63.302796333822805,235.71016021957513,4007.24402368145
54,587190.3749415682,517552.01812203357,CE,236.3296514931111,3768.654277985286,61.389366163736256,236.3296514931111,3768.654277985286
55,587190.6629982904,517552.01812203357,CE,237.10427159531065,3611.6840014142354,60.097287804145,237.10427159531065,3611.6840014142354
56,587190.9510550125,517552.01812203357,CE,238.04270231289505,3566.864464798742,59.723232203211694,238.04270231289505,3566.864464798742
57,587191.2391117347,517552.01812203357,CE,239.12319078162292,3639.4496740956365,60.32785156207402,239.12319078162292,3639.4496740956365
58,587191.5271684568,517552.01812203357,CE,240.28942657876306,3805.122034939855,61.68567122873719,240.28942657876306,3805.122034939855
59,587191.815225179,517552.01812203357,CE,241.46574147629545,4025.5841765987147,63.447491491773846,241.46574147629545,4025.5841765987147
