Variable,Numero_pares,Distancia_media_m,Semivarianza
NDVI,24,2.0726474093204774,9.273321759259276e-5
NDVI,170,3.3270658353795564,8.382618464052284e-5
NDVI,248,5.9698487088907735,8.87254704301072e-5
NDVI,204,8.448359948315526,1.2592497276688418e-4
NDVI,160,10.923464687690569,1.4464027777777726e-4
NDVI,148,13.42102659735075,1.4718639733483452e-4
NDVI,131,15.944764085186725,1.6420981764206922e-4
Diametro,24,2.0726474093204774,0.032902739376143124
Diametro,170,3.3270658353795564,0.1636755054516663
Diametro,248,5.9698487088907735,0.13152664603867986
Diametro,204,8.448359948315526,0.13392063511575755
Diametro,160,10.923464687690569,0.14464973221557784
Diametro,148,13.42102659735075,0.14665434097291755
Diametro,131,15.944764085186725,0.1576970046806773
Macollas,24,2.0726474093204774,0.631281175652649
Macollas,170,3.3270658353795564,0.4432397577954793
Macollas,248,5.9698487088907735,0.5222400004433618
Macollas,204,8.448359948315526,0.665411841771817
Macollas,160,10.923464687690569,0.6536600160951969
Macollas,148,13.42102659735075,0.8260162555133258
Macollas,131,15.944764085186725,0.659253139062647
Altura,24,2.0726474093204774,12.608022280092586
Altura,170,3.3270658353795564,16.947287978848944
Altura,248,5.9698487088907735,18.336779887246106
Altura,204,8.448359948315526,16.570905936062694
Altura,160,10.923464687690569,17.32333229648919
Altura,148,13.42102659735075,16.579959784002735
Altura,131,15.944764085186725,18.073750589011404
Calcio_savia,24,2.0726474093204774,25590.15739836516
Calcio_savia,170,3.3270658353795564,36560.99963618261
Calcio_savia,248,5.9698487088907735,31276.091017200117
Calcio_savia,204,8.448359948315526,25711.23258569923
Calcio_savia,160,10.923464687690569,30555.046455891938
Calcio_savia,148,13.42102659735075,27483.35842923
Calcio_savia,131,15.944764085186725,28842.117503909558
Potasio_savia,24,2.0726474093204774,148033.85416666666
Potasio_savia,170,3.3270658353795564,172196.6911764706
Potasio_savia,248,5.9698487088907735,176835.9375
Potasio_savia,204,8.448359948315526,155635.7230392157
Potasio_savia,160,10.923464687690569,163462.890625
Potasio_savia,148,13.42102659735075,138211.570945946
Potasio_savia,131,15.944764085186725,154045.80152671758
Nitratos,24,2.0726474093204774,267128.3564814813
Nitratos,170,3.3270658353795564,354757.3366013073
Nitratos,248,5.9698487088907735,360474.5967741936
Nitratos,204,8.448359948315526,329699.3191721132
Nitratos,160,10.923464687690569,351749.4184027778
Nitratos,148,13.42102659735075,375851.75487988023
Nitratos,131,15.944764085186725,333606.5415606444
Suelo_T,24,2.0726474093204774,0.04187347977339732
Suelo_T,170,3.3270658353795564,0.08670654313890769
Suelo_T,248,5.9698487088907735,0.12688084847008693
Suelo_T,204,8.448359948315526,0.11337700155972424
Suelo_T,160,10.923464687690569,0.1161418827249809
Suelo_T,148,13.42102659735075,0.12145247499623608
Suelo_T,131,15.944764085186725,0.10970573620513567
Suelo_Hv,24,2.0726474093204774,0.1777692464173444
Suelo_Hv,170,3.3270658353795564,0.12739689988307773
Suelo_Hv,248,5.9698487088907735,0.11331231037684329
Suelo_Hv,204,8.448359948315526,0.09280116080179746
Suelo_Hv,160,10.923464687690569,0.08328654348292404
Suelo_Hv,148,13.42102659735075,0.08266312469861518
Suelo_Hv,131,15.944764085186725,0.09381336396591633
Suelo_pH,24,2.0726474093204774,0.2509156738426023
Suelo_pH,170,3.3270658353795564,0.33491397504956627
Suelo_pH,248,5.9698487088907735,0.3448504002763836
Suelo_pH,204,8.448359948315526,0.2542336401790664
Suelo_pH,160,10.923464687690569,0.3534591103121062
Suelo_pH,148,13.42102659735075,0.3662322161139647
Suelo_pH,131,15.944764085186725,0.24305197011932958
Suelo_N,24,2.0726474093204774,5.123377655804591
Suelo_N,170,3.3270658353795564,8.575765015660238
Suelo_N,248,5.9698487088907735,14.324124827756835
Suelo_N,204,8.448359948315526,14.846109944586944
Suelo_N,160,10.923464687690569,15.061793255449519
Suelo_N,148,13.42102659735075,15.499455765594112
Suelo_N,131,15.944764085186725,10.906629171094137
Suelo_P,24,2.0726474093204774,10.310241652319998
Suelo_P,170,3.3270658353795564,17.23410014381843
Suelo_P,248,5.9698487088907735,28.362503140003312
Suelo_P,204,8.448359948315526,29.183821554196555
Suelo_P,160,10.923464687690569,29.85656696063551
Suelo_P,148,13.42102659735075,30.749162398115274
Suelo_P,131,15.944764085186725,21.356052547862436
Suelo_K,24,2.0726474093204774,40.64998121305661
Suelo_K,170,3.3270658353795564,67.64007972665112
Suelo_K,248,5.9698487088907735,111.86952983970161
Suelo_K,204,8.448359948315526,116.0078684179433
Suelo_K,160,10.923464687690569,119.73743519983046
Suelo_K,148,13.42102659735075,122.82600451496856
Suelo_K,131,15.944764085186725,84.7741222655929
Suelo_CE_corregida_OLS,24,2.0726474093204774,887.5450502277605
Suelo_CE_corregida_OLS,170,3.3270658353795564,1489.8280930029312
Suelo_CE_corregida_OLS,248,5.9698487088907735,2449.4443261909437
Suelo_CE_corregida_OLS,204,8.448359948315526,2527.386540876875
Suelo_CE_corregida_OLS,160,10.923464687690569,2605.686305903635
Suelo_CE_corregida_OLS,148,13.42102659735075,2680.083446275352
Suelo_CE_corregida_OLS,131,15.944764085186725,1858.2641625415617
Suelo_CE,24,2.0726474093204774,1025.5205428002876
Suelo_CE,170,3.3270658353795564,1721.4329731469475
Suelo_CE,248,5.9698487088907735,2830.2287014159433
Suelo_CE,204,8.448359948315526,2920.2876142465498
Suelo_CE,160,10.923464687690569,3010.7596612832754
Suelo_CE,148,13.42102659735075,3096.722391577604
Suelo_CE,131,15.944764085186725,2147.145175500414
