Variable,n,k_vecinos,Moran_I,Esperanza_I,Varianza_I,Z_Moran,p_valor_informativo,Sim_Q025,Sim_Mediana,Sim_Q975,Diagnostico,Grupo,Interpretacion
NDVI,56,4,0.33301145704891044,-0.01818181818181818,0.007654174764140761,4.014181492461853,2.982621733364979e-5,-0.18636857788738193,-0.01990084258117452,0.15285879058775365,Autocorrelación positiva mayor que el intervalo simulado,Cultivo_observado,Respuesta observada del cultivo
Diametro,56,4,0.016672022880018084,-0.01818181818181818,0.0051935327326883395,0.48363665619934376,0.3143218776153645,-0.15855884127164024,-0.018315341162359056,0.1193353885310238,Sin evidencia gráfica fuerte de estructura espacial residual,Cultivo_observado,Respuesta observada del cultivo
Macollas,56,4,0.1123604213671075,-0.01818181818181818,0.007375960480794552,1.5199936320212255,0.06425628805254846,-0.17291339452210297,-0.016091611447605514,0.14561173812078454,Sin evidencia gráfica fuerte de estructura espacial residual,Cultivo_observado,Respuesta observada del cultivo
Altura,56,4,0.0016641280093889791,-0.01818181818181818,0.0074350175888626075,0.23016050902761356,0.40898352366393637,-0.17083253646150728,-0.015272490120931048,0.15317939735232822,Sin evidencia gráfica fuerte de estructura espacial residual,Cultivo_observado,Respuesta observada del cultivo
Calcio_savia,56,4,-0.1351586237589295,-0.01818181818181818,0.007505233466168959,-1.350260782990667,0.9115338264443096,-0.18098318541720315,-0.019812917981818348,0.17047974509437888,Sin evidencia gráfica fuerte de estructura espacial residual,Cultivo_observado,Respuesta observada del cultivo
Potasio_savia,56,4,0.09424521151991187,-0.01818181818181818,0.007510246390150703,1.2973096370030948,0.09726233493133617,-0.17604855656607407,-0.024062973680584278,0.15006674590050956,Sin evidencia gráfica fuerte de estructura espacial residual,Cultivo_observado,Respuesta observada del cultivo
Nitratos,56,4,-0.0025352774898176242,-0.01818181818181818,0.007659710709611224,0.17877720783655385,0.4290563212277141,-0.18507502308402587,-0.021216698106260503,0.1821083805635339,Sin evidencia gráfica fuerte de estructura espacial residual,Cultivo_observado,Respuesta observada del cultivo
Suelo_T,56,4,0.4637766776899945,-0.01818181818181818,0.00753959679605898,5.550544383521533,1.4239069848471057e-8,-0.17702516978606092,-0.024368584903273947,0.16954266163482468,Autocorrelación positiva mayor que el intervalo simulado,Suelo_predicho_exploratorio,Respuesta observada del cultivo
Suelo_Hv,56,4,-0.15541618047770922,-0.01818181818181818,0.005897168719032436,-1.7870680565374262,0.9630367552027274,-0.18860989953404744,-0.016466879507227156,0.11518979253058777,Sin evidencia gráfica fuerte de estructura espacial residual,Suelo_predicho_exploratorio,Exploratorio; estructura espacial débil o efecto pepita dominante
Suelo_pH,56,4,0.06221660732325306,-0.01818181818181818,0.007661059710750279,0.9185506738917667,0.17916532112024944,-0.17518436980451618,-0.02467794228391817,0.17632413304426425,Sin evidencia gráfica fuerte de estructura espacial residual,Suelo_predicho_exploratorio,Exploratorio; sensor de pH con validación limitada
Suelo_N,56,4,0.5073524918426565,-0.01818181818181818,0.007665154174993692,6.002616909968881,9.708118007155874e-10,-0.17871462169521313,-0.02182777106563867,0.17150047433219726,Autocorrelación positiva mayor que el intervalo simulado,Suelo_predicho_exploratorio,Índice instrumental nominal; no equivale a análisis químico independiente
Suelo_P,56,4,0.49819427424625057,-0.01818181818181818,0.007661493643761752,5.899421192267532,1.8238947712369768e-9,-0.1807282947763255,-0.022292651366028652,0.1732792811892978,Autocorrelación positiva mayor que el intervalo simulado,Suelo_predicho_exploratorio,Índice instrumental nominal; no equivale a análisis químico independiente
Suelo_K,56,4,0.5058044927325792,-0.01818181818181818,0.007657110806942135,5.9880783657449115,1.0616737880358924e-9,-0.1828039815781506,-0.0169535108828539,0.16373239612114113,Autocorrelación positiva mayor que el intervalo simulado,Suelo_predicho_exploratorio,Índice instrumental nominal; no equivale a análisis químico independiente
Suelo_CE_corregida_OLS,56,4,0.4980642817681246,-0.01818181818181818,0.007653345319760401,5.901074929177461,1.805704169206142e-9,-0.19169509564372622,-0.025820098075535713,0.15298820544543543,Autocorrelación positiva mayor que el intervalo simulado,Suelo_predicho_exploratorio,CE calibrada exploratoriamente; la varianza no incluye incertidumbre de calibración
Suelo_CE,56,4,0.4980642817681075,-0.01818181818181818,0.007653345319760389,5.90107492917727,1.8057041692082325e-9,-0.18224774549562348,-0.02097787086130683,0.1696349838018431,Autocorrelación positiva mayor que el intervalo simulado,Suelo_predicho_exploratorio,Lectura proximal original de CE
