Nodo,Treatment_ID,Dose_percent,Omission_description,Replication,Observado,Ajustado,Residuo,Residuo_estudentizado,Leverage,Cook,Variable,Modelo,X,Y,n_modelo,umbral_cook,umbral_leverage,Flag_Cook,Flag_Leverage,Flag_Residuo,Influyente
24,T7-B,D75,Sin Zn,1,6.333333333333333,7.180555555555556,-0.8472222222222232,-1.1302449958265013,0.2916666666666666,0.0350673578593566,Macollas,M1_Aditivo,587206.461,517570,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
25,T0-B,D75,Control,1,6.333333333333333,6.857638888888889,-0.5243055555555562,-0.678805842098767,0.24791666666666667,0.01012604010726178,Macollas,M1_Aditivo,587208.571,517572,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
26,T9-A,D100,Sin B,1,7.666666666666667,7.597222222222223,0.06944444444444375,0.09264303244479474,0.2916666666666669,2.356043930351808e-4,Macollas,M1_Aditivo,587210.54,517574,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
27,T1-A,D100,Completo,1,7,8.474305555555556,-1.4743055555555564,-1.9087480831465993,0.24791666666666667,0.08006555681347777,Macollas,M1_Aditivo,587212.65,517576,56,0.07142857142857142,0.5357142857142857,TRUE,FALSE,FALSE,TRUE
28,T2-A,D100,Sin N,1,9.333333333333334,7.940972222222223,1.3923611111111107,1.8026565740503666,0.2479166666666667,0.07141254222568304,Macollas,M1_Aditivo,587214.441,517577,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
29,T7-A,D100,Sin Zn,1,9.333333333333334,8.263888888888891,1.0694444444444429,1.4267026996498462,0.2916666666666666,0.055875937852223966,Macollas,M1_Aditivo,587215.987,517575,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
30,T0-A,D100,Control,1,8.666666666666666,7.940972222222223,0.7256944444444429,0.9395392119115367,0.24791666666666667,0.01939895434083155,Macollas,M1_Aditivo,587214.196,517574,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
31,T5-A,D100,Sin Mg y S,1,9.333333333333334,9.007638888888891,0.3256944444444425,0.42166879462824075,0.24791666666666667,0.003907431968831909,Macollas,M1_Aditivo,587212.086,517572,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
32,T4-B,D75,Sin K,1,7,7.347222222222225,-0.347222222222225,-0.46321516222397896,0.29166666666666663,0.005890109825879649,Macollas,M1_Aditivo,587210.117,517570,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
33,T8-B,D75,Sin Mn,1,6.666666666666667,7.324305555555556,-0.6576388888888891,-0.8514293145265324,0.24791666666666673,0.015931097587918632,Macollas,M1_Aditivo,587208.007,517569,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
34,T11-B,D75,Sin Mo,1,7,7.724305555555558,-0.7243055555555582,-0.9377410507404149,0.24791666666666662,0.019324771026963013,Macollas,M1_Aditivo,587206.075,517567,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
35,T1-A,D100,Completo,2,7,6.363194444444445,0.6368055555555552,0.8244568969596943,0.24791666666666667,0.014937723327494835,Macollas,M1_Aditivo,587204.105,517565,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
36,T7-A,D100,Sin Zn,2,5.333333333333333,6.152777777777779,-0.8194444444444455,-1.0931877828485836,0.29166666666666646,0.03280555568621887,Macollas,M1_Aditivo,587202.04,517564,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
37,T2-A,D100,Sin N,2,5,5.8298611111111125,-0.8298611111111125,-1.0744012997457306,0.24791666666666667,0.025367726721060482,Macollas,M1_Aditivo,587200.115,517562,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
38,T2-B,D75,Sin N,2,4.666666666666667,4.746527777777779,-0.0798611111111116,-0.10339426733954697,0.24791666666666665,2.3493159145394703e-4,Macollas,M1_Aditivo,587197.782,517560,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
39,T4-B,D75,Sin K,2,6,5.236111111111113,0.7638888888888866,1.0190733568927444,0.29166666666666663,0.028508131557256986,Macollas,M1_Aditivo,587196.259,517559,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
40,T6-B,D75,Sin Fe,2,5,5.652777777777779,-0.6527777777777786,-0.8708445049810745,0.29166666666666646,0.02081800416858873,Macollas,M1_Aditivo,587194.193,517557,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
41,T2-A,D100,Sin N,3,7.666666666666667,6.958333333333332,0.7083333333333348,0.9505670450439515,0.3,0.025816505917816854,Macollas,M1_Aditivo,587192.224,517555,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
42,T3-A,D100,Sin P,3,7.333333333333333,7.6916666666666655,-0.3583333333333325,-0.4808750933751753,0.30000000000000004,0.006606881583673818,Macollas,M1_Aditivo,587190.146,517554,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
43,T5-A,D100,Sin Mg y S,3,7.666666666666667,8.025,-0.3583333333333334,-0.4808750933751755,0.3,0.006606881583673823,Macollas,M1_Aditivo,587191.692,517552,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
44,T1-A,D100,Completo,3,7.666666666666667,7.491666666666665,0.1750000000000016,0.23484597583438857,0.30000000000000004,0.0015757894961601778,Macollas,M1_Aditivo,587193.77,517553,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
45,T0-B,D75,Control,2,5,4.746527777777778,0.2534722222222223,0.32816441372986827,0.24791666666666667,0.0023666360129642678,Macollas,M1_Aditivo,587195.739,517555,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
46,T9-B,D75,Sin B,2,4.666666666666667,4.402777777777778,0.2638888888888893,0.3520435232902221,0.29166666666666674,0.0034021274354280482,Macollas,M1_Aditivo,587197.805,517557,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
47,T10-B,D75,Sin Cu,2,5.333333333333333,4.746527777777777,0.5868055555555562,0.7597230947992831,0.24791666666666667,0.012684085413074177,Macollas,M1_Aditivo,587199.328,517558,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
48,T8-A,D100,Sin Mn,2,6.333333333333333,6.296527777777778,0.03680555555555465,0.047651271034747415,0.24791666666666665,4.989964766685281e-5,Macollas,M1_Aditivo,587201.661,517560,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
49,T6-A,D100,Sin Fe,2,7,6.7361111111111125,0.2638888888888875,0.35204352329022104,0.2916666666666664,0.003402127435428023,Macollas,M1_Aditivo,587203.586,517562,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
50,T3-A,D100,Sin P,2,4,6.563194444444445,-2.563194444444445,-3.3185064413066856,0.24791666666666662,0.242010289033847,Macollas,M1_Aditivo,587205.651,517563,56,0.07142857142857142,0.5357142857142857,TRUE,FALSE,TRUE,TRUE
51,T9-B,D75,Sin B,1,6,6.513888888888889,-0.5138888888888893,-0.6855584400914847,0.29166666666666674,0.012901696562606629,Macollas,M1_Aditivo,587207.621,517565,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
52,T5-B,D75,Sin Mg y S,1,7.666666666666667,7.924305555555557,-0.25763888888888964,-0.33355889724323534,0.24791666666666673,0.002445082735675839,Macollas,M1_Aditivo,587209.552,517567,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
53,T6-B,D75,Sin Fe,1,8.666666666666666,7.763888888888889,0.9027777777777768,1.2043594217823361,0.2916666666666666,0.03981714242294578,Macollas,M1_Aditivo,587211.663,517569,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
54,T11-A,D100,Sin Mo,1,9.666666666666666,8.807638888888892,0.859027777777774,1.1121626843393033,0.24791666666666665,0.02718223352465001,Macollas,M1_Aditivo,587213.632,517570,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
55,T3-A,D100,Sin P,1,10.666666666666666,8.674305555555556,1.9923611111111104,2.5794621999753127,0.2479166666666667,0.1462200191488599,Macollas,M1_Aditivo,587215.742,517572,56,0.07142857142857142,0.5357142857142857,TRUE,FALSE,TRUE,TRUE
56,T8-A,D100,Sin Mn,1,8.333333333333334,8.40763888888889,-0.07430555555555607,-0.09620162265505668,0.2479166666666666,2.033823660155944e-4,Macollas,M1_Aditivo,587217.533,517574,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
1,T4-A,D100,Sin K,1,28.53333333333333,42.96388888888887,-14.430555555555536,-3.2849255293549002,0.04166666666666672,0.1563874743972114,Altura,M0_Bloque,587212.895,517579,56,0.07142857142857142,0.10714285714285714,TRUE,FALSE,TRUE,TRUE
