Nodo,X,Y,Variable,Escenario,Valor,Z,Rezago_Z,Moran_local,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_LISA
1,587212.895,517579,Altura,Original,28.53333333333333,-2.9903257470690168,-0.43001378511570976,1.2858812932261103,-1.166389654903075,0.8805312342260159,0.028,Bajo-Bajo
2,587211.104,517578,Altura,Original,39.13333333333333,-1.0343396716308149,-0.9190103039752602,0.9505688160391059,-1.2173884911401285,0.9077727782735414,0.056,Bajo-Bajo
3,587208.994,517576,Altura,Original,39.9,-0.8928689806400018,-0.19627960000045305,0.1752519663728318,-1.2033747102821422,0.7962901885804445,0.44,Sin_clasificar
4,587207.025,517574,Altura,Original,48.333333333333336,0.6633086202589457,-0.44846648394059896,-0.29747168469501933,-1.1287767734533627,0.6727260491824731,0.286,Sin_clasificar
5,587204.915,517572,Altura,Original,46.5,0.3250091418026525,-0.1101670054843058,-0.03580528390742234,-0.982675069009451,0.7941722435992684,0.766,Sin_clasificar
6,587202.983,517570,Altura,Original,44.43333333333334,-0.05634663391171321,0.1543216776724316,-0.00869550707644991,-0.9630740558388369,0.9651055783869836,0.972,Sin_clasificar
7,587201.014,517569,Altura,Original,44.699999999999996,-0.00713943704534484,-0.03635621018475128,2.5956287382135666e-4,-0.9830964741306489,0.9730266434667258,0.946,Sin_clasificar
8,587198.948,517567,Altura,Original,42.63333333333333,-0.38849521275971055,0.20814204924502383,-0.08086218970568769,-1.0029545528701849,0.9403997108701332,0.636,Sin_clasificar
9,587197.023,517566,Altura,Original,46.46666666666667,0.3188582421943566,0.22044384846161658,0.07029033802303018,-0.9258659682102541,0.7508017014451288,0.632,Sin_clasificar
10,587194.69,517564,Altura,Original,48.800000000000004,0.7494212147750933,0.1573971274765802,0.11795674647560894,-0.7429355674217248,0.793479940011582,0.512,Sin_clasificar
11,587193.167,517562,Altura,Original,41.13333333333333,-0.6652856951330409,0.2235192982657648,-0.14870419172238886,-0.8385671850482892,0.9225605426857946,0.508,Sin_clasificar
12,587191.101,517561,Altura,Original,47.86666666666667,0.577196025742798,-0.2931562688311188,-0.16920863329090907,-0.9759902072534854,0.935397226721876,0.484,Sin_clasificar
13,587189.132,517559,Altura,Original,44.333333333333336,-0.07479933273660216,0.6540822708465011,-0.04892491741415977,-1.1221536614818903,0.9694623499706743,0.742,Sin_clasificar
14,587187.054,517557,Altura,Original,62.333333333333336,3.246686455743363,0.7863266124248698,2.5529559623503855,-0.955368287395567,0.8890340832777909,0.008,Alto-Alto
15,587188.6,517555,Altura,Original,56.666666666666664,2.201033522333003,1.3399075771715308,2.9491814941825343,-0.8813938021313652,1.0989651009254153,0.002,Alto-Alto
16,587190.678,517557,Altura,Original,45.333333333333336,0.10972765551228479,0.47570618220591004,0.05219812408615428,-1.4896520822068922,1.0143003953456735,0.734,Sin_clasificar
17,587192.647,517559,Altura,Original,37.6,-1.3172810536124413,0.2681133204259123,-0.35318059721817585,-1.1468860800548741,1.0912751752879044,0.25,Sin_clasificar
18,587194.713,517560,Altura,Original,49.53333333333333,0.8847410061576092,-0.5038245804152649,-0.44575426620353675,-1.1011781582368092,0.8337053474228899,0.21,Sin_clasificar
19,587196.236,517562,Altura,Original,48.36666666666667,0.6694595198672415,-0.08710113195319494,-0.05831068197727913,-1.0715844220086719,1.2685306594076264,0.714,Sin_clasificar
20,587198.569,517564,Altura,Original,46.4,0.3065564429777635,-0.15783647744860152,-0.04838578909878327,-0.8259477231069476,0.9302118493730207,0.744,Sin_clasificar
21,587200.494,517565,Altura,Original,45.9,0.21429294885332004,0.16508575198695002,0.035376712606951355,-0.8830252310998712,0.7802589243709769,0.778,Sin_clasificar
22,587202.56,517567,Altura,Original,46.03333333333333,0.2388965472865049,-0.060959808617936415,-0.014563087802071136,-0.9383333273933232,0.9430057848575284,0.882,Sin_clasificar
23,587204.529,517569,Altura,Original,45.06666666666666,0.0605204586459138,-0.35466526491408124,-0.021464504498374715,-0.7839209565898836,1.0680452137593601,0.844,Sin_clasificar
24,587206.461,517570,Altura,Original,38.733333333333334,-1.1081504669303694,-0.21627002372741597,0.2396597277765781,-0.7958377529378535,1.0674320228605563,0.362,Sin_clasificar
25,587208.571,517572,Altura,Original,41.9,-0.5238150041422278,-0.297769443537341,0.15597610229994116,-0.8780269947827944,0.9532651923303281,0.456,Sin_clasificar
26,587210.54,517574,Altura,Original,40.93333333333333,-0.7021910927828189,-0.28854309412489654,0.20261239057849686,-1.064502586494547,0.9827316963028344,0.448,Sin_clasificar
27,587212.65,517576,Altura,Original,46.300000000000004,0.2881037441528759,-0.5161263796318574,-0.1486979424280067,-0.9558368662443604,0.9900218528896993,0.508,Sin_clasificar
28,587214.441,517577,Altura,Original,44.300000000000004,-0.08095023234489805,-0.4669191827654873,0.03779721633115611,-0.9381549184836948,0.8500404117892713,0.744,Sin_clasificar
29,587215.987,517575,Altura,Original,50.6,1.0815697936230892,-0.13784605372163888,-0.14909012787547024,-0.9322222690915644,0.948784473593056,0.482,Sin_clasificar
