X,Y,Densidad_nodos_m2,Grupo
587185.0977943204,517557.1921597078,0.12547971329410892,D100
587185.2015985446,517557.0881247703,0.12856612404992218,D100
587185.2015985446,517557.1921597078,0.12783119732627327,D100
587185.2015985446,517557.2961946452,0.1269787696498379,D100
587185.3054027688,517556.98408983287,0.13147136620233263,D100
587185.3054027688,517557.0881247703,0.13083714371490665,D100
587185.3054027688,517557.1921597078,0.1300823184225077,D100
587185.3054027688,517557.2961946452,0.129208632183405,D100
587185.3054027688,517557.4002295827,0.12821854529547982,D100
587185.409206993,517556.8800548954,0.13418418286535722,D100
587185.409206993,517556.98408983287,0.13365370540879648,D100
587185.409206993,517557.0881247703,0.1330006820680908,D100
587185.409206993,517557.1921597078,0.13222611020073594,D100
587185.409206993,517557.2961946452,0.13133175415781473,D100
587185.409206993,517557.4002295827,0.13032012735353263,D100
587185.409206993,517557.50426452013,0.12919446596636538,D100
587185.5130112171,517556.77601995796,0.13669720976547992,D100
587185.5130112171,517556.8800548954,0.13627134065464258,D100
587185.5130112171,517556.98408983287,0.13572228613831833,D100
587185.5130112171,517557.0881247703,0.13505023080995027,D100
587185.5130112171,517557.1921597078,0.13425616278829183,D100
587185.5130112171,517557.2961946452,0.1333418654872016,D100
587185.5130112171,517557.4002295827,0.13230989961333497,D100
587185.5130112171,517557.50426452013,0.13116357592000522,D100
587185.5130112171,517557.6082994576,0.12990691932987355,D100
587185.6168154413,517556.56795008306,0.13920945057219128,D100
587185.6168154413,517556.6719850205,0.1390075504778216,D100
587185.6168154413,517556.77601995796,0.13868472337555904,D100
587185.6168154413,517556.8800548954,0.13823948711263648,D100
587185.6168154413,517556.98408983287,0.1376711680475771,D100
587185.6168154413,517557.0881247703,0.1369799163839532,D100
587185.6168154413,517557.1921597078,0.1361667100542337,D100
587185.6168154413,517557.2961946452,0.1352333474533614,D100
587185.6168154413,517557.4002295827,0.13418242945868766,D100
587185.6168154413,517557.50426452013,0.13301733129341184,D100
587185.6168154413,517557.6082994576,0.1317421648952564,D100
587185.7206196655,517556.4639151456,0.1412233907289237,D100
587185.7206196655,517556.56795008306,0.14111723993168962,D100
587185.7206196655,517556.6719850205,0.14089327774538363,D100
587185.7206196655,517556.77601995796,0.14054916442820745,D100
587185.7206196655,517556.8800548954,0.14008335305816472,D100
587185.7206196655,517556.98408983287,0.13949512037715817,D100
587185.7206196655,517557.0881247703,0.13878458514148223,D100
587185.7206196655,517557.1921597078,0.13795271407358334,D100
587185.7206196655,517557.2961946452,0.13700131569112758,D100
587185.7206196655,517557.4002295827,0.13593302245285976,D100
587185.7206196655,517557.50426452013,0.13475126180613414,D100
587185.7206196655,517557.6082994576,0.13346021684851575,D100
587185.7206196655,517557.71233439504,0.1320647774260173,D100
587185.8244238896,517556.35988020815,0.14305225935623947,D100
587185.8244238896,517556.4639151456,0.14303354743492452,D100
587185.8244238896,517556.56795008306,0.14290157811564003,D100
587185.8244238896,517556.6719850205,0.14265320333696138,D100
587185.8244238896,517556.77601995796,0.1422860258521779,D100
587185.8244238896,517556.8800548954,0.14179844732571611,D100
587185.8244238896,517556.98408983287,0.14118970323778093,D100
587185.8244238896,517557.0881247703,0.14045988440219387,D100
587185.8244238896,517557.1921597078,0.13960994513097416,D100
587185.8244238896,517557.2961946452,0.13864169829071196,D100
587185.8244238896,517557.4002295827,0.13755779768859822,D100
587185.8244238896,517557.50426452013,0.13636170839918577,D100
587185.8244238896,517557.6082994576,0.1350576657962183,D100
587185.8244238896,517557.71233439504,0.1336506241873153,D100
587185.8244238896,517557.8163693325,0.13214619606338499,D100
587185.9282281138,517556.2558452707,0.1447111953001483,D100
587185.9282281138,517556.35988020815,0.14476907008789527,D100
587185.9282281138,517556.4639151456,0.14471956466203179,D100
587185.9282281138,517556.56795008306,0.14455881954597558,D100
587185.9282281138,517556.6719850205,0.14428365498369372,D100
587185.9282281138,517556.77601995796,0.14389163735826316,D100
587185.9282281138,517556.8800548954,0.14338113222372129,D100
587185.9282281138,517556.98408983287,0.14275134337518725,D100
587185.9282281138,517557.0881247703,0.14200233765735104,D100
587185.9282281138,517557.1921597078,0.14113505547297928,D100
587185.9282281138,517557.2961946452,0.14015130719764368,D100
587185.9282281138,517557.4002295827,0.13905375593198935,D100
587185.9282281138,517557.50426452013,0.13784588722682575,D100
587185.9282281138,517557.6082994576,0.13653196659819783,D100
587185.9282281138,517557.71233439504,0.13511698580895182,D100
587185.9282281138,517557.8163693325,0.1336065990301964,D100
587185.9282281138,517557.92040426994,0.13200705011081054,D100
587186.032032338,517556.15181033325,0.14622023247730667,D100
587186.032032338,517556.2558452707,0.14634157126007924,D100
587186.032032338,517556.35988020815,0.14636252654443876,D100
587186.032032338,517556.4639151456,0.1462786759289917,D100
587186.032032338,517556.56795008306,0.14608617515931321,D100
587186.032032338,517556.6719850205,0.14578184298010646,D100
587186.032032338,517556.77601995796,0.14536323307072524,D100
587186.032032338,517556.8800548954,0.14482869202255041,D100
587186.032032338,517556.98408983287,0.14417740263177126,D100
587186.032032338,517557.0881247703,0.14340941208980287,D100
587186.032032338,517557.1921597078,0.14252564495029188,D100
587186.032032338,517557.2961946452,0.1415279010318888,D100
587186.032032338,517557.4002295827,0.1404188386761984,D100
587186.032032338,517557.50426452013,0.13920194401795993,D100
587186.032032338,517557.6082994576,0.13788148713781181,D100
587186.032032338,517557.71233439504,0.1364624661558688,D100
587186.032032338,517557.8163693325,0.13495054048627703,D100
587186.032032338,517557.92040426994,0.13335195460882204,D100
587186.032032338,517558.0244392074,0.1316734538237659,D100
587186.1358365621,517556.0477753958,0.14760368097812634,D100
587186.1358365621,517556.15181033325,0.14777352766477425,D100
587186.1358365621,517556.2558452707,0.14785081043194737,D100
587186.1358365621,517556.35988020815,0.14783074505483687,D100
587186.1358365621,517556.4639151456,0.14770899390323075,D100
587186.1358365621,517556.56795008306,0.14748176810190547,D100
587186.1358365621,517556.6719850205,0.14714591805715121,D100
587186.1358365621,517556.77601995796,0.1466990107701671,D100
587186.1358365621,517556.8800548954,0.14613939269913323,D100
587186.1358365621,517556.98408983287,0.14546623727807717,D100
587186.1358365621,517557.0881247703,0.14467957654418537,D100
587186.1358365621,517557.1921597078,0.14378031665903251,D100
587186.1358365621,517557.2961946452,0.14277023742747905,D100
587186.1358365621,517557.4002295827,0.14165197621602266,D100
587186.1358365621,517557.50426452013,0.14042899694648622,D100
587186.1358365621,517557.6082994576,0.13910554508836648,D100
