Tipo_grupo,Grupo,n,X_centroide,Y_centroide,NN_min_m,NN_media_m,NN_mediana_m,NN_max_m,Dispersion_X_m,Dispersion_Y_m,Area_convexa_m2,Intensidad_nodos_m2,Analisis_multiescala,Treatment_base,Omission_description,Grupo_dosis,Justificacion
Dosis,D100,32,587203.0894375,517566.03125,1.8412267649359462,2.248333652283756,2.294389897068329,2.5278678763488505,9.410575073917299,8.141825011392044,261.4634999978589,0.08715379931179022,TRUE,NA,NA,NA,NA
Dosis,D75,24,587201.299125,517564.5,1.8219574637684508,2.1796813883254096,2.2952899598885903,2.5278678763488505,6.569570327505693,5.664534978419599,154.42850000108592,0.06536534948384266,TRUE,NA,NA,NA,NA
Repeticion,R1,24,587210.3049583334,517572.125,1.8412267649359462,2.186357584220806,2.0512632692773924,2.5278678763488505,3.9153452008297864,3.6631241121301863,97.5280000003986,0.06536534948384266,TRUE,NA,NA,NA,NA
Repeticion,R2,24,587198.3094166666,517562,1.8219574637684508,2.2201089991672758,2.294389897068329,2.5278678763488505,3.879452638626404,3.5630958693126744,97.67049999861047,0.06536534948384266,TRUE,NA,NA,NA,NA
Repeticion,R3,8,587190.412,517555.25,1.8412267649359462,2.2730435707900316,2.306097135889284,2.5278678762776527,2.1559660744911135,2.3145502494313788,19.158999999868684,0.021788449827947556,TRUE,NA,NA,NA,NA
Tratamiento,T0-A,3,587200.117,517566.3333333333,10.548359161545935,13.347229799062646,10.548359161545935,18.944971074096067,12.815250719357518,7.505553499465135,28.5414999993518,0.008170668685480333,FALSE,T0,Control,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T0-B,2,587202.155,517563.5,21.299301021427027,21.299301021427027,21.299301021427027,21.299301021427027,9.073594216223315,12.020815280171307,NA,0.005447112456986889,FALSE,T0,Control,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T1-A,3,587203.5083333333,517564.6666666667,13.928999425684395,14.565017044629155,13.928999425684395,15.837052282518675,9.454131812776554,11.503622617824933,5.57249999884516,0.008170668685480333,FALSE,T1,Completo,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T1-B,2,587198.781,517565.5,17.87466989907737,17.87466989907737,17.87466989907737,17.87466989907737,8.674785991624884,9.192388155425117,NA,0.005447112456986889,FALSE,T1,Completo,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T10-A,3,587200.2286666667,517567.3333333333,10.61510244885572,12.355969927316433,10.61510244885572,15.83770488423786,9.183219769409197,9.60902353693305,11.703999999910593,0.008170668685480333,FALSE,T10,Sin Cu,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T10-B,2,587201.9284999999,517563.5,12.167596352608419,12.167596352608419,12.167596352608419,12.167596352608419,3.6776623689518924,7.7781745930520225,NA,0.005447112456986889,FALSE,T10,Sin Cu,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T11-A,3,587200.3933333333,517564,14.057277261295301,14.585107255716835,14.057277261295301,15.640767244559903,13.289285960240921,6.557438524302,18.95200000051409,0.008170668685480333,FALSE,T11,Sin Mo,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T11-B,2,587201.1555,517564.5,11.036571976769958,11.036571976769958,11.036571976769958,11.036571976769958,6.957223620037806,3.5355339059327378,NA,0.005447112456986889,FALSE,T11,Sin Mo,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T2-A,3,587202.26,517564.6666666667,10.548359161458848,13.946269267668962,10.548359161458848,20.74208948008919,11.262750152580846,11.239810200058244,9.04149999958463,0.008170668685480333,FALSE,T2,Sin N,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T2-B,2,587200.3825000001,517565,11.271663630538736,11.271663630538736,11.271663630538736,11.271663630538736,3.6776623689518924,7.0710678118654755,NA,0.005447112456986889,FALSE,T2,Sin N,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T3-A,3,587203.8463333333,517563,13.521400851993876,14.990191384487487,13.521400851993876,17.92777244947471,12.893076449535789,9,24.362999999895692,0.008170668685480333,FALSE,T3,Sin P,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T3-B,2,587200.8574999999,517569,15.879301779421944,15.879301779421944,15.879301779421944,15.879301779421944,8.722162145992039,7.0710678118654755,NA,0.005447112456986889,FALSE,T3,Sin P,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T4-A,2,587205.9214999999,517573,18.398880645333318,18.398880645333318,18.398880645333318,18.398880645333318,9.862018277239729,8.48528137423857,NA,0.005447112456986889,FALSE,T4,Sin K,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T4-B,2,587203.188,517564.5,17.69305411737065,17.69305411737065,17.69305411737065,17.69305411737065,9.799085773688445,7.7781745930520225,NA,0.005447112456986889,FALSE,T4,Sin K,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T5-A,3,587202.1126666667,517563.6666666667,10.758469965526258,13.346753671858776,10.758469965526258,18.52332108452381,10.204356389947035,10.408329997330663,44.27499999944121,0.008170668685480333,FALSE,T5,Sin Mg y S,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T5-B,2,587202.1325000001,517563.5,16.40719113684844,16.40719113684844,16.40719113684844,16.40719113684844,10.492757526052863,4.949747468305833,NA,0.005447112456986889,FALSE,T5,Sin Mg y S,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T6-A,2,587207.345,517570,17.678244369863265,17.678244369863265,17.678244369863265,17.678244369863265,5.316028780988781,11.313708498984761,NA,0.005447112456986889,FALSE,T6,Sin Fe,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T6-B,2,587202.928,517563,21.194360098833457,21.194360098833457,21.194360098833457,21.194360098833457,12.353155467309229,8.48528137423857,NA,0.005447112456986889,FALSE,T6,Sin Fe,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T7-A,2,587209.0135,517569.5,17.762849123887015,17.762849123887015,17.762849123887015,17.762849123887015,9.86201827715741,7.7781745930520225,NA,0.005447112456986889,FALSE,T7,Sin Zn,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T7-B,2,587198.781,517565.5,17.802516676008786,17.802516676008786,17.802516676008786,17.802516676008786,10.861160159015492,6.363961030678928,NA,0.005447112456986889,FALSE,T7,Sin Zn,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T8-A,3,587202.598,517563,13.985339502481139,16.378269552920848,13.985339502481139,21.164129653800266,14.489240801407322,9.848857801796104,51.74699999857694,0.008170668685480333,FALSE,T8,Sin Mn,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T8-B,2,587200.587,517565.5,16.408095562832163,16.408095562832163,16.408095562832163,16.408095562832163,10.493464632785317,4.949747468305833,NA,0.005447112456986889,FALSE,T8,Sin Mn,D75,Descripción geométrica únicamente; n < 8
Tratamiento,T9-A,2,587204.5545000001,517569,15.598231983159767,15.598231983159767,15.598231983159767,15.598231983159767,8.46477527759799,7.0710678118654755,NA,0.005447112456986889,FALSE,T9,Sin B,D100,Descripción geométrica únicamente; n < 8
Tratamiento,T9-B,2,587202.713,517561,12.663090302127497,12.663090302127497,12.663090302127497,12.663090302127497,6.940960164121224,5.656854249492381,NA,0.005447112456986889,FALSE,T9,Sin B,D75,Descripción geométrica únicamente; n < 8
