Tipo_grupo,Grupo,n,Funcion,r,Observado,Limite_inferior,Limite_superior,Posicion
Dosis,D100,32,K,0.9600880458856125,0,0.7573639696039117,7.076756365528288,Bajo_envolvente
Dosis,D100,32,K,0.9753275386774476,0,0.7573639696039117,7.082625954851197,Bajo_envolvente
Dosis,D100,32,K,0.9905670314692827,0,0.7573639696039117,7.082625954851197,Bajo_envolvente
Dosis,D100,32,K,1.0058065242611178,0,0.7754269224939956,7.090651246321052,Bajo_envolvente
Dosis,D100,32,K,1.021046017052953,0,0.7754269224939956,7.090651246321052,Bajo_envolvente
Dosis,D100,32,K,1.036285509844788,0,0.7754269224939956,8.742743197192814,Bajo_envolvente
Dosis,D100,32,K,1.0515250026366232,0,0.7754269224939956,8.742743197192814,Bajo_envolvente
Dosis,D100,32,K,1.0667644954284583,0,0.7754269224939956,8.742743197192814,Bajo_envolvente
Dosis,D100,32,K,1.0820039882202934,0,0.7754269224939956,8.742743197192814,Bajo_envolvente
Dosis,D100,32,K,1.0972434810121285,0,0.7754269224939956,8.742743197192814,Bajo_envolvente
Dosis,D100,32,K,1.1124829738039637,0,0.7754269224939956,10.402392941809966,Bajo_envolvente
Dosis,D100,32,K,1.1277224665957988,0,0.7754269224939956,10.402392941809966,Bajo_envolvente
Dosis,D100,32,K,1.142961959387634,0,0.7754269224939956,10.402392941809966,Bajo_envolvente
Dosis,D100,32,K,1.158201452179469,0,0.7754269224939956,10.402392941809966,Bajo_envolvente
Dosis,D100,32,K,1.1734409449713041,0,0.7754269224939956,10.402392941809966,Bajo_envolvente
Dosis,D100,32,K,1.1886804377631393,0,0.7853077904679587,11.186656638349477,Bajo_envolvente
Dosis,D100,32,K,1.2039199305549744,0,1.5696466498031945,11.987966237084297,Bajo_envolvente
Dosis,D100,32,K,1.2191594233468095,0,1.580026674188,12.772229933623807,Bajo_envolvente
Dosis,D100,32,K,1.2343989161386446,0,1.5989330835281608,12.772229933623807,Bajo_envolvente
Dosis,D100,32,K,1.2496384089304797,0,1.5989330835281608,12.772229933623807,Bajo_envolvente
Dosis,D100,32,K,1.2648779017223148,0,2.3174857960183557,12.772229933623807,Bajo_envolvente
Dosis,D100,32,K,1.28011739451415,0,2.3174857960183557,12.772229933623807,Bajo_envolvente
Dosis,D100,32,K,1.295356887305985,0,2.3174857960183557,12.772229933623807,Bajo_envolvente
Dosis,D100,32,K,1.3105963800978202,0,2.3174857960183557,13.620278477941023,Bajo_envolvente
Dosis,D100,32,K,1.3258358728896553,0,2.4287395800637754,13.620278477941023,Bajo_envolvente
Dosis,D100,32,K,1.3410753656814904,0,2.4287395800637754,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.3563148584733256,0,3.1411738794575195,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.3715543512651607,0,3.149350602570668,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.3867938440569958,0,3.149350602570668,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.402033336848831,0,3.149350602570668,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.417272829640666,0,3.149350602570668,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.4325123224325012,0,3.2038753717439943,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.4477518152243363,0,3.2038753717439943,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.4629913080161714,0,3.2038753717439943,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.4782308008080065,0,3.2190687450392894,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.4934702935998416,0,3.223534651541136,14.443966561380186,Bajo_envolvente
Dosis,D100,32,K,1.5087097863916767,0,3.223534651541136,15.986854274515231,Bajo_envolvente
Dosis,D100,32,K,1.5239492791835119,0,4.092829043600194,15.986854274515231,Bajo_envolvente
Dosis,D100,32,K,1.539188771975347,0,4.140880114294134,15.986854274515231,Bajo_envolvente
Dosis,D100,32,K,1.554428264767182,0,4.142321251597606,16.789878071146994,Bajo_envolvente
Dosis,D100,32,K,1.5696677575590172,0,4.142321251597606,16.789878071146994,Bajo_envolvente
Dosis,D100,32,K,1.5849072503508523,0,4.142321251597606,16.789878071146994,Bajo_envolvente
Dosis,D100,32,K,1.6001467431426875,0,4.142321251597606,16.789878071146994,Bajo_envolvente
Dosis,D100,32,K,1.6153862359345226,0,4.142321251597606,16.789878071146994,Bajo_envolvente
Dosis,D100,32,K,1.6306257287263577,0,4.142321251597606,17.618192687452016,Bajo_envolvente
Dosis,D100,32,K,1.6458652215181928,0,4.142321251597606,17.618192687452016,Bajo_envolvente
Dosis,D100,32,K,1.661104714310028,0,4.142321251597606,18.440896086989877,Bajo_envolvente
Dosis,D100,32,K,1.676344207101863,0,4.809801651779047,18.440896086989877,Bajo_envolvente
