Tipo_grupo,Grupo,n,Media_NN_observada_m,Media_NN_CSR_teorica_m,R_Clark_Evans,Sim_Q025_m,Sim_Mediana_m,Sim_Q975_m,p_Monte_Carlo_informativo,Clasificacion
Dosis,D100,32,2.248333652283756,1.6936623849751675,1.3274981319944241,1.5314802097116926,1.8786657658343384,2.210432245443631,0.04,Más regular que CSR
Dosis,D75,24,2.1796813883254096,1.955672867763513,1.1145429403119298,1.7115315466159562,2.189794940544454,2.7075647576504247,0.962,Compatible con CSR
Repeticion,R1,24,2.186357584220806,1.955672867763513,1.1179566993334125,1.6724321592894595,2.1603480084530093,2.6549147004753566,0.916,Compatible con CSR
Repeticion,R2,24,2.2201089991672758,1.955672867763513,1.135214910306635,1.6894869736678149,2.1629200881302713,2.6901848539479225,0.81,Compatible con CSR
Repeticion,R3,8,2.2730435707900316,3.387324769950335,0.6710438842341531,2.3077489711398784,4.170833543260231,5.922429039033209,0.042,Más agregado que CSR
