Nodo,Experimental_Unit,Lote,Treatment_ID,Treatment_base,Dose_code,Dose_percent,Omission_description,Omission_public,Replication,Area_m2,Public_treatment_code,Public_unit_code,X,Y,Geometry_status,Observation_status,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia
26,L2_NODE_26,Lote_2,T9-A,T9,A,100,Sin B,Minus_B,1,4,D100_Minus_B,D100_Minus_B_R1,587210.54,517574,Point_available,Observed,7.666666666666667,40.93333333333333,3.511111111111111,0.71,4600,4400,1200
27,L2_NODE_27,Lote_2,T1-A,T1,A,100,Completo,Complete,1,4,D100_Complete,D100_Complete_R1,587212.65,517576,Point_available,Observed,7,46.300000000000004,3.411111111111111,0.72,4000,4200,750
28,L2_NODE_28,Lote_2,T2-A,T2,A,100,Sin N,Minus_N,1,4,D100_Minus_N,D100_Minus_N_R1,587214.441,517577,Point_available,Observed,9.333333333333334,44.300000000000004,3.6222222222222222,0.7,3600,3200,1200
29,L2_NODE_29,Lote_2,T7-A,T7,A,100,Sin Zn,Minus_Zn,1,4,D100_Minus_Zn,D100_Minus_Zn_R1,587215.987,517575,Point_available,Observed,9.333333333333334,50.6,3.577777777777778,0.73,3600,4100,950
30,L2_NODE_30,Lote_2,T0-A,T0,A,100,Control,Control,1,4,D100_Control,D100_Control_R1,587214.196,517574,Point_available,Observed,8.666666666666666,43.4,3.333333333333334,0.67,2200,3700,780
31,L2_NODE_31,Lote_2,T5-A,T5,A,100,Sin Mg y S,Minus_MgS,1,4,D100_Minus_MgS,D100_Minus_MgS_R1,587212.086,517572,Point_available,Observed,9.333333333333334,44.6,3.488888888888889,0.69,5800,4600,1000
32,L2_NODE_32,Lote_2,T4-B,T4,B,75,Sin K,Minus_K,1,4,D75_Minus_K,D75_Minus_K_R1,587210.117,517570,Point_available,Observed,7,44.5,3.077777777777778,0.67,5200,4200,1300
33,L2_NODE_33,Lote_2,T8-B,T8,B,75,Sin Mn,Minus_Mn,1,4,D75_Minus_Mn,D75_Minus_Mn_R1,587208.007,517569,Point_available,Observed,6.666666666666667,40.800000000000004,3.0444444444444443,0.68,5200,4700,1400
34,L2_NODE_34,Lote_2,T11-B,T11,B,75,Sin Mo,Minus_Mo,1,4,D75_Minus_Mo,D75_Minus_Mo_R1,587206.075,517567,Point_available,Observed,7,42.06666666666666,3.2222222222222228,0.69,5800,4400,1500
35,L2_NODE_35,Lote_2,T1-A,T1,A,100,Completo,Complete,2,4,D100_Complete,D100_Complete_R2,587204.105,517565,Point_available,Observed,7,41.96666666666667,3.077777777777778,0.7,5600,4300,1700
36,L2_NODE_36,Lote_2,T7-A,T7,A,100,Sin Zn,Minus_Zn,2,4,D100_Minus_Zn,D100_Minus_Zn_R2,587202.04,517564,Point_available,Observed,5.333333333333333,47.46666666666666,3.211111111111111,0.7,4500,5000,1600
37,L2_NODE_37,Lote_2,T2-A,T2,A,100,Sin N,Minus_N,2,4,D100_Minus_N,D100_Minus_N_R2,587200.115,517562,Point_available,Observed,5,40.53333333333334,2.6666666666666665,0.67,3700,5100,1900
38,L2_NODE_38,Lote_2,T2-B,T2,B,75,Sin N,Minus_N,2,4,D75_Minus_N,D75_Minus_N_R2,587197.782,517560,Point_available,Observed,4.666666666666667,37.800000000000004,2.8555555555555556,0.67,4000,4300,2000
