Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Suelo_CE,-0.4395813182839943,-0.029797990803578405,-0.028259621549851822,-0.07529346757644063,0.27190837510623767,0.07379619488258386,0.46907631474841466,0.7071067811865004
Suelo_CE_corregida_OLS,-0.43958131828399416,-0.029797990803572073,-0.028259621549849394,-0.07529346757644248,0.271908375106098,0.07379619488275903,0.4690763147483269,-0.7071067811865948
Suelo_N,-0.4396614283567293,-0.021110217799198625,-0.031469059353320464,-0.06808760891689858,-0.8903326120732822,0.007225814280988215,0.08877832180172272,8.298917109073045e-14
Suelo_P,-0.4396568887484351,-0.030104006177349957,-0.01690612926457965,-0.0736887314689762,0.1771413213706425,-0.7764023261205505,-0.4073083633975173,-8.854028621385623e-14
Suelo_K,-0.4396997895871241,-0.030564435119828044,-0.02325146349366023,-0.07038359610994174,0.16714677613235007,0.621465360902267,-0.6213519048124476,9.864331573794516e-14
Suelo_pH,-0.12794276238844016,0.37729477969724023,0.8575513045716688,0.32528709053293,-1.8223336758542777e-4,0.004370264619053656,0.0073644486443703895,2.8171909249863347e-15
Suelo_T,-0.11037722198296147,0.5856905906988462,-0.5094866537222132,0.6205356943955636,0.010842586574860131,-0.003969295690916356,-0.0029808559513764994,-4.163336342344337e-16
Suelo_Hv,-0.07104780981533619,-0.7145300997792454,0.040188901803832174,0.6948134612681118,-0.0021962631909849114,-0.0011872328100640944,0.003437782509833733,-4.2396641752873165e-15
