Conjunto,Variable,VIF,Tolerancia
C01_CE_original,Suelo_CE,1.1372127414631266,0.8793429439714243
C01_CE_original,Suelo_pH,1.0680724631693335,0.9362660629154885
C01_CE_original,Suelo_T,1.0698054694581411,0.9347493806574968
C01_CE_original,Suelo_Hv,1.0523399063181917,0.9502633075074453
C02_CE_corregida,Suelo_CE_corregida_OLS,1.137212741463127,0.879342943971424
C02_CE_corregida,Suelo_pH,1.0680724631693355,0.9362660629154868
C02_CE_corregida,Suelo_T,1.0698054694581418,0.9347493806574961
C02_CE_corregida,Suelo_Hv,1.0523399063181893,0.9502633075074475
C03_Indice_N,Suelo_N,1.1435921915130576,0.8744375900966284
C03_Indice_N,Suelo_pH,1.0695031203442145,0.9350136348159085
C03_Indice_N,Suelo_T,1.0751529566202742,0.9301002186177153
C03_Indice_N,Suelo_Hv,1.051767943344424,0.9507800711440094
C04_Indice_P,Suelo_P,1.1409916236448407,0.8764306233954198
C04_Indice_P,Suelo_pH,1.0733793395393467,0.9316370859431314
C04_Indice_P,Suelo_T,1.0674917025090969,0.9367754312745848
C04_Indice_P,Suelo_Hv,1.0530619957296028,0.9496117076252103
C05_Indice_K,Suelo_K,1.1416110252129363,0.8759551002176746
C05_Indice_K,Suelo_pH,1.0709763122292788,0.9337274677144457
C05_Indice_K,Suelo_T,1.0698191448734988,0.9347374318284848
C05_Indice_K,Suelo_Hv,1.054047763986768,0.9487236102258393
C06_CE_T,Suelo_CE,1.0439971672563955,0.9578570051372657
C06_CE_T,Suelo_T,1.0439971672563935,0.9578570051372675
C07_CEcor_T,Suelo_CE_corregida_OLS,1.0439971672563966,0.9578570051372647
C07_CEcor_T,Suelo_T,1.0439971672563937,0.9578570051372673
C08_N_T,Suelo_N,1.049046640780894,0.9532464631464007
C08_N_T,Suelo_T,1.0490466407808914,0.9532464631464032
C09_P_T,Suelo_P,1.041956384754462,0.9597330700513448
C09_P_T,Suelo_T,1.0419563847544595,0.959733070051347
C10_K_T,Suelo_K,1.0438425155903994,0.9579989175229158
C10_K_T,Suelo_T,1.0438425155903972,0.9579989175229179
C11_pH_T_Hv,Suelo_pH,1.0102632449548814,0.9898410191540327
C11_pH_T_Hv,Suelo_T,1.021641040375032,0.9788173736960608
C11_pH_T_Hv,Suelo_Hv,1.015989961110971,0.9842616937932278
