grid_id,X,Y,Variable,Prediccion,Varianza_kriging,Error_estandar_kriging,var1.pred,var1.var
1,587191.2877414739,517556.5212909224,Hv,15.044022299369574,3.3528846911492307,1.8310883897696557,15.044022299369574,3.3528846911492307
2,587191.0018009432,517556.807231453,Hv,15.045540594354746,3.3498389418980614,1.8302565235228807,15.045540594354746,3.3498389418980614
3,587191.2877414739,517556.807231453,Hv,15.0455184868538,3.3487516412613587,1.8299594643765633,15.0455184868538,3.3487516412613587
4,587191.5736820044,517556.807231453,Hv,15.045309464772867,3.347785058278796,1.8296953457553518,15.045309464772867,3.347785058278796
5,587190.7158604125,517557.0931719836,Hv,15.047039025469743,3.34695514001533,1.829468540318562,15.047039025469743,3.34695514001533
6,587191.0018009432,517557.0931719836,Hv,15.04715976763466,3.345717143523232,1.8291301603557992,15.04715976763466,3.345717143523232
7,587191.2877414739,517557.0931719836,Hv,15.047035594368307,3.344608725933807,1.8288271449029312,15.047035594368307,3.344608725933807
8,587191.5736820044,517557.0931719836,Hv,15.046705365592652,3.3436266680926447,1.828558631297516,15.046705365592652,3.3436266680926447
9,587191.8596225351,517557.0931719836,Hv,15.04621175870775,3.3427669859521103,1.8283235452053093,15.04621175870775,3.3427669859521103
10,587190.429919882,517557.3791125142,Hv,15.04844287763454,3.3442570280131583,1.8287309884215224,15.04844287763454,3.3442570280131583
11,587190.7158604125,517557.3791125142,Hv,15.04879040382479,3.34285259150508,1.8283469559974332,15.04879040382479,3.34285259150508
12,587191.0018009432,517557.3791125142,Hv,15.048817813205586,3.341588123182081,1.8280011277846853,15.048817813205586,3.341588123182081
13,587191.2877414739,517557.3791125142,Hv,15.04856671621973,3.3404605084504455,1.8276926734137897,15.04856671621973,3.3404605084504455
14,587191.5736820044,517557.3791125142,Hv,15.048089180105203,3.33946510799105,1.8274203424475306,15.048089180105203,3.33946510799105
15,587191.8596225351,517557.3791125142,Hv,15.047440225083081,3.3385966358285195,1.8271827045559839,15.047440225083081,3.3385966358285195
16,587192.1455630658,517557.3791125142,Hv,15.04667217327085,3.3378497803651763,1.826978319621001,15.04667217327085,3.3378497803651763
17,587190.1439793513,517557.6650530449,Hv,15.049624739834181,3.341774876914718,1.8280522084762016,15.049624739834181,3.341774876914718
18,587190.429919882,517557.6650530449,Hv,15.050320043286508,3.340184393374971,1.8276171353363295,15.050320043286508,3.340184393374971
19,587190.7158604125,517557.6650530449,Hv,15.050603807927386,3.338745618982057,1.827223472644235,15.050603807927386,3.338745618982057
20,587191.0018009432,517557.6650530449,Hv,15.05051060094145,3.337456705917882,1.8268707414368106,15.05051060094145,3.337456705917882
21,587191.2877414739,517557.6650530449,Hv,15.050099727377754,3.3363125777639513,1.826557575814119,15.050099727377754,3.3363125777639513
22,587191.5736820044,517557.6650530449,Hv,15.04944222983123,3.335306528748012,1.8262821602227877,15.04944222983123,3.335306528748012
23,587191.8596225351,517557.6650530449,Hv,15.04860937957054,3.3344315756782974,1.826042599634055,15.04860937957054,3.3344315756782974
24,587192.1455630658,517557.6650530449,Hv,15.047665371564229,3.3336812378276446,1.825837133434317,15.047665371564229,3.3336812378276446
25,587192.43150359625,517557.6650530449,Hv,15.04666408835388,3.3330497991289216,1.8256642076594813,15.04666408835388,3.3330497991289216
26,587192.717444127,517557.6650530449,Hv,15.045648576567261,3.3325322603981866,1.825522462309951,15.045648576567261,3.3325322603981866
27,587189.8580388206,517557.9509935755,Hv,15.050380394906933,3.339548091412371,1.8274430473785965,15.050380394906933,3.339548091412371
28,587190.1439793513,517557.9509935755,Hv,15.051584047078421,3.3377479984750704,1.8269504641546992,15.051584047078421,3.3377479984750704
29,587190.429919882,517557.9509935755,Hv,15.052283855104879,3.336110774406749,1.8265023335344384,15.052283855104879,3.336110774406749
30,587190.7158604125,517557.9509935755,Hv,15.052480827755925,3.3346390827115706,1.8260994175322358,15.052480827755925,3.3346390827115706
31,587191.0018009432,517557.9509935755,Hv,15.052228249235062,3.333328947908346,1.8257406573520638,15.052228249235062,3.333328947908346
32,587191.2877414739,517557.9509935755,Hv,15.051613766540413,3.3321720575392835,1.8254238021728773,15.051613766540413,3.3321720575392835
33,587191.5736820044,517557.9509935755,Hv,15.050735956054249,3.331158677617027,1.825146207189174,15.050735956054249,3.331158677617027
34,587191.8596225351,517557.9509935755,Hv,15.049686895081996,3.330279697204462,1.8249053940422397,15.049686895081996,3.330279697204462
35,587192.1455630658,517557.9509935755,Hv,15.048543856701398,3.3295274509559043,1.824699276855204,15.048543856701398,3.3295274509559043
36,587192.43150359625,517557.9509935755,Hv,15.047367602620909,3.3288957090751796,1.8245261601509526,15.047367602620909,3.3288957090751796
