grid_id,X,Y,I1,Var_I1,I2,Var_I2,Diferencia_I2_I1,Cambio_relativo_porcentaje,Variable
1,587191.2179033896,517556.49489339313,20.8759491422753,0.35047061880164015,16.420607994032338,0.419876423307042,-4.455341148242962,-21.341981233421265,T
2,587190.9847579175,517556.7280388654,20.858948711614474,0.33284223249527783,16.417340311582002,0.41413881463767405,-4.441608400032472,-21.29353910132268,T
3,587191.2179033896,517556.7280388654,20.86174600606905,0.33707471985427484,16.414516825073846,0.4188247254250714,-4.447229180995205,-21.317626912442645,T
4,587191.451048862,517556.7280388654,20.86482259587788,0.34207649954206354,16.412608976140852,0.41982807754456997,-4.452213619737027,-21.338372752887054,T
5,587190.7516124453,517556.9611843376,20.83962934957539,0.3136449443877836,16.405354341597132,0.38874625882631053,-4.434275007978258,-21.278089612801136,T
6,587190.9847579175,517556.9611843376,20.841970688864123,0.31743401399887955,16.401135373203246,0.40319385302903954,-4.440835315660877,-21.307175707878802,T
7,587191.2179033896,517556.9611843376,20.844783793592057,0.3223185636783857,16.400376279847745,0.4127192530078497,-4.444407513744313,-21.321437332972376,T
8,587191.451048862,517556.9611843376,20.848008659762936,0.32809491819750214,16.40204148577613,0.41807978707013793,-4.445967173986805,-21.32562033403031,T
9,587191.6841943341,517556.9611843376,20.851568798590954,0.3345443268445076,16.4053510655005,0.4197187425541702,-4.446217733090453,-21.32318088886869,T
10,587190.518466973,517557.19432980986,20.81857274963564,0.29331531688961476,16.396250664575422,0.33579796678721985,-4.422322085060216,-21.242196274658717,T
11,587190.7516124453,517557.19432980986,20.82013560401211,0.29619956789014085,16.383916786472973,0.36397719483396734,-4.436218817539135,-21.307348337751755,T
12,587190.9847579175,517557.19432980986,20.82237997395376,0.30057380775901793,16.37801851294312,0.3853350085251614,-4.444361461010637,-21.344156943490546,T
13,587191.2179033896,517557.19432980986,20.82525140594522,0.30621796903461035,16.377861712670143,0.400742104739505,-4.447389693275078,-21.355755119505694,T
14,587191.451048862,517557.19432980986,20.82866931633301,0.3128754381186597,16.382152573050078,0.4111148598994681,-4.446516743282931,-21.348059617981214,T
15,587191.6841943341,517557.19432980986,20.832536879548705,0.32027931389326497,16.38951307924365,0.41721699969068327,-4.443023800305056,-21.327329580617572,T
16,587191.9173398062,517557.19432980986,20.836749559691995,0.3281728873218087,16.39898975034775,0.41954070180593284,-4.4377598093442465,-21.297754703204507,T
17,587192.1504852786,517557.19432980986,20.841201380256418,0.33632249020511173,16.410448468052405,0.41824857007937405,-4.430752912204014,-21.25958495080527,T
18,587190.2853215009,517557.427475282,20.796435267911384,0.27247035190136587,16.402156375645816,0.24985760467283577,-4.394278892265568,-21.129962109640395,T
19,587190.518466973,517557.427475282,20.796853921348088,0.27384333149171325,16.376350979590143,0.29321092369375995,-4.420502941757945,-21.25563298408455,T
20,587190.7516124453,517557.427475282,20.798178953719894,0.2771744747888936,16.358114447409896,0.3297121074196105,-4.440064506309998,-21.34833302564628,T
21,587190.9847579175,517557.427475282,20.800373253721176,0.28225352761337447,16.348464020657136,0.3590292783249256,-4.45190923306404,-21.403025699395062,T
22,587191.2179033896,517557.427475282,20.803357962110866,0.2887895859073176,16.347076241583938,0.3815464818720539,-4.456281720526928,-21.4209731363713,T
23,587191.451048862,517557.427475282,20.807024543644467,0.296455197825636,16.352621877855853,0.3980251182830011,-4.4544026657886135,-21.408167498649956,T
24,587191.6841943341,517557.427475282,20.811249761576928,0.3049224678695072,16.363284604900723,0.40933051342698623,-4.447965156676204,-21.372888258197374,T
25,587191.9173398062,517557.427475282,20.81590714603042,0.31388920944040255,16.37733907391883,0.41623406081816716,-4.43856807211159,-21.322962487167043,T
26,587192.1504852786,517557.427475282,20.820874420530057,0.3230929534016407,16.393664363757203,0.41928153239471294,-4.427210056772854,-21.263324331890118,T
27,587192.3836307507,517557.427475282,20.8260372863538,0.3323145284913569,16.412089538719012,0.41871625258518513,-4.413947747634786,-21.194371674956198,T
28,587190.0521760285,517557.66062075424,20.7739285362909,0.2521021774185145,16.429707520591037,0.14132310554254338,-4.344221015699862,-20.911889670318008,T
29,587190.2853215009,517557.66062075424,20.772786728628702,0.2511764434553921,16.389926661616244,0.19242950471775758,-4.382860067012459,-21.099047153707478,T
30,587190.518466973,517557.66062075424,20.772781512606826,0.2527176280232157,16.355229551610616,0.2413900897115482,-4.41755196099621,-21.26605894504419,T
31,587190.7516124453,517557.66062075424,20.773920312023453,0.2565915797357818,16.329078326972038,0.28543348831214727,-4.444841985051415,-21.39625991767594,T
32,587190.9847579175,517557.66062075424,20.77613858291544,0.2625097634706477,16.31344039411108,0.3230131300009125,-4.46269818880436,-21.479921165303114,T
33,587191.2179033896,517557.66062075424,20.77931824655274,0.2700855659471774,16.30865420849034,0.35360427918803605,-4.470664038062402,-21.514969764727866,T
34,587191.451048862,517557.66062075424,20.78331052610445,0.2788978533669982,16.313638592054296,0.37740928636022064,-4.4696719340501545,-21.506063379249014,T
35,587191.6841943341,517557.66062075424,20.7879565495471,0.2885434762754116,16.32636890221658,0.395062199049606,-4.461587647330521,-21.462367581424083,T
36,587191.9173398062,517557.66062075424,20.793103219067685,0.29866829505506287,16.34449482221889,0.40737361240472764,-4.448608396848794,-21.394634316869706,T
37,587192.1504852786,517557.66062075424,20.798614203979994,0.3089770091653348,16.36595956669235,0.4151266073817003,-4.432654637287644,-21.312259527557455,T
38,587192.3836307507,517557.66062075424,20.804365614959263,0.31924107996114065,16.38949440044284,0.4189249646750828,-4.414871214516424,-21.220888424215808,T
39,587192.6167762228,517557.66062075424,20.810248157458112,0.32928503052857544,16.414895210983786,0.4190931812385882,-4.3953529464743255,-21.121098187861303,T
40,587190.0521760285,517557.8937662265,20.74877097296066,0.22944383450190192,16.427826738023118,0.08457821991831227,-4.320944234937542,-20.82506111117859,T
41,587190.2853215009,517557.8937662265,20.746934487092478,0.228214556153748,16.378867375958375,0.13259556517316992,-4.368067111134103,-21.054036266667048,T
42,587190.518466973,517557.8937662265,20.746528086521284,0.2299732560428151,16.334171513978724,0.18310622759776007,-4.41235657254256,-21.267927598011948,T
43,587190.7516124453,517557.8937662265,20.747543342591594,0.23452803475956327,16.29832556610651,0.23218792868199717,-4.449217776485085,-21.4445522682751,T
44,587190.9847579175,517557.8937662265,20.749873391897058,0.24147070283656166,16.27445513727182,0.2769873763792124,-4.4754182546252395,-21.568412346905767,T
45,587191.2179033896,517557.8937662265,20.753344968640366,0.25027204674038933,16.263860871532682,0.31576607124781064,-4.489484097107685,-21.632580694300522,T
46,587191.451048862,517557.8937662265,20.757755266428624,0.26038239382232986,16.266042530062563,0.3477619373440147,-4.491712736366061,-21.63872094412095,T
47,587191.6841943341,517557.8937662265,20.76290165048217,0.2713053832714127,16.27907197439963,0.372966304552321,-4.483829676082539,-21.595390430308246,T
48,587191.9173398062,517557.8937662265,20.768599553349876,0.28263490185807205,16.300203206836326,0.3918758524031245,-4.4683963465135506,-21.5151548135696,T
49,587192.1504852786,517557.8937662265,20.774689774874094,0.2940616178252515,16.32657008571833,0.4052490399248169,-4.448119689155764,-21.411244824149108,T
50,587192.3836307507,517557.8937662265,20.781038683294017,0.3053611593573649,16.35582188709603,0.4138864605671773,-4.4252167961979865,-21.294492848210908,T
51,587192.6167762228,517557.8937662265,20.787539234174098,0.31636754919309856,16.386575170374634,0.4184527088977176,-4.400964063799464,-21.171164197080188,T
52,587192.8499216952,517557.8937662265,20.794103440118537,0.32695770219484976,16.4186044513848,0.41935171480490363,-4.375498988733735,-21.042017999641118,T
