grid_id,X,Y,Variable,Prediccion,Varianza_kriging,Error_estandar_kriging,var1.pred,var1.var
1,587191.2877414739,517556.5212909224,T,20.8753706765762,0.35027433488039084,0.5918397881862885,20.8753706765762,0.35027433488039084
2,587191.0018009432,517556.807231453,T,20.85367894326369,0.3280642488561834,0.5727689314690378,20.85367894326369,0.3280642488561834
3,587191.2877414739,517556.807231453,T,20.85718913879005,0.333711430104406,0.5776776177976831,20.85718913879005,0.333711430104406
4,587191.5736820044,517556.807231453,T,20.8611583286942,0.3404923678112934,0.5835172386582023,20.8611583286942,0.3404923678112934
5,587190.7158604125,517557.0931719836,T,20.828609976702513,0.3034496106195024,0.5508626059368184,20.828609976702513,0.3034496106195024
6,587191.0018009432,517557.0931719836,T,20.831378015994595,0.30841773205121586,0.5553536999527561,20.831378015994595,0.30841773205121586
7,587191.2877414739,517557.0931719836,T,20.834978222674415,0.31515364975575283,0.5613854734099849,20.834978222674415,0.31515364975575283
8,587191.5736820044,517557.0931719836,T,20.83927400618713,0.32322494433311993,0.5685287541832162,20.83927400618713,0.32322494433311993
9,587191.8596225351,517557.0931719836,T,20.844096702907382,0.33218292812393324,0.5763531279727154,20.844096702907382,0.33218292812393324
10,587190.429919882,517557.3791125142,T,20.801261764304204,0.2772810202529339,0.5265748002448787,20.801261764304204,0.2772810202529339
11,587190.7158604125,517557.3791125142,T,20.802661416284693,0.2806411603800578,0.5297557554005976,20.802661416284693,0.2806411603800578
12,587191.0018009432,517557.3791125142,T,20.80531831251144,0.2865930402782517,0.5353438523773778,20.80531831251144,0.2865930402782517
13,587191.2877414739,517557.3791125142,T,20.809100541070748,0.29464129742880407,0.5428087116368012,20.809100541070748,0.29464129742880407
14,587191.5736820044,517557.3791125142,T,20.81381432462933,0.3042108563516853,0.5515531310324376,20.81381432462933,0.3042108563516853
15,587191.8596225351,517557.3791125142,T,20.819239198610603,0.31473696344233487,0.5610142274865539,20.819239198610603,0.31473696344233487
16,587192.1455630658,517557.3791125142,T,20.825153666891435,0.32572183144145395,0.5707204494684363,20.825153666891435,0.32572183144145395
17,587190.1439793513,517557.6650530449,T,20.772882812095638,0.25102329737502427,0.5010222523751059,20.772882812095638,0.25102329737502427
18,587190.429919882,517557.6650530449,T,20.7721704545509,0.25142671208520156,0.5014246823653594,20.7721704545509,0.25142671208520156
19,587190.7158604125,517557.6650530449,T,20.773191050516754,0.25544811476282253,0.5054187518907688,20.773191050516754,0.25544811476282253
20,587191.0018009432,517557.6650530449,T,20.775859193048603,0.26262562757428815,0.5124701235918911,20.775859193048603,0.26262562757428815
21,587191.2877414739,517557.6650530449,T,20.779961380262833,0.27225452377853476,0.5217801488927446,20.779961380262833,0.27225452377853476
22,587191.5736820044,517557.6650530449,T,20.785217826843137,0.2835598164749755,0.5325033487922639,20.785217826843137,0.2835598164749755
23,587191.8596225351,517557.6650530449,T,20.791336832408003,0.29583106551998894,0.543903544316443,20.791336832408003,0.29583106551998894
