grid_id,X,Y,Variable,Prediccion,Varianza_kriging,Error_estandar_kriging,var1.pred,var1.var
1,587191.2877414739,517556.5212909224,K,44.82972371962135,200.94288105207517,14.175432305650334,44.82972371962135,200.94288105207517
2,587191.0018009432,517556.807231453,K,44.530818314646766,200.34811288053413,14.154437921745043,44.530818314646766,200.34811288053413
3,587191.2877414739,517556.807231453,K,44.61861050639046,200.51950716971044,14.16049106386182,44.61861050639046,200.51950716971044
4,587191.5736820044,517556.807231453,K,44.71918422334915,200.70517904998673,14.167045530031544,44.71918422334915,200.70517904998673
5,587190.7158604125,517557.0931719836,K,44.11438427416805,199.27160770924056,14.116359577073707,44.11438427416805,199.27160770924056
6,587191.0018009432,517557.0931719836,K,44.2120009303347,199.51345817396813,14.124923297985307,44.2120009303347,199.51345817396813
7,587191.2877414739,517557.0931719836,K,44.34131433037669,199.82322450426145,14.135884284481868,44.34131433037669,199.82322450426145
8,587191.5736820044,517557.0931719836,K,44.488974216819884,200.1543017927535,14.14758996411592,44.488974216819884,200.1543017927535
9,587191.8596225351,517557.0931719836,K,44.64118395754858,200.46771326517415,14.158662128364183,44.64118395754858,200.46771326517415
10,587190.429919882,517557.3791125142,K,43.5949445900851,197.52435318838812,14.054335743406307,43.5949445900851,197.52435318838812
11,587190.7158604125,517557.3791125142,K,43.67505276515515,197.75693314440147,14.062607622500227,43.67505276515515,197.75693314440147
12,587191.0018009432,517557.3791125142,K,43.81446520096037,198.1823241047622,14.077724393692405,43.81446520096037,198.1823241047622
13,587191.2877414739,517557.3791125142,K,43.998022788008015,198.72265683309783,14.096902384321806,43.998022788008015,198.72265683309783
14,587191.5736820044,517557.3791125142,K,44.206773481990986,199.29356375025665,14.117137236361225,44.206773481990986,199.29356375025665
15,587191.8596225351,517557.3791125142,K,44.42116229385621,199.82598936772013,14.135982080057973,44.42116229385621,199.82598936772013
16,587192.1455630658,517557.3791125142,K,44.62397020805936,200.27796195002608,14.151959650522823,44.62397020805936,200.27796195002608
