grid_id,X,Y,I1,Var_I1,I2,Var_I2,Diferencia_I2_I1,Cambio_relativo_porcentaje,Variable
1,587191.2179033896,517556.49489339313,44.83165002545977,200.9493523014442,39.548597433369075,147.60426257070708,-5.283052592090698,-11.78420287696408,K
2,587190.9847579175,517556.7280388654,44.601029894432536,200.50656778345217,37.713003423032056,146.04308783776804,-6.8880264714004795,-15.443648919551741,K
3,587191.2179033896,517556.7280388654,44.662981021665665,200.62186952806144,38.322820384617096,147.5933601905209,-6.3401606370485695,-14.195560824686124,K
4,587191.451048862,517556.7280388654,44.73393867351446,200.74884270036443,38.964448255971504,148.1588224225519,-5.769490417542954,-12.897345032931083,K
5,587190.7516124453,517556.9611843376,44.295704042777864,199.784774347253,35.80554573940824,139.11282094680442,-8.490158303369626,-19.167001601713775,K
6,587190.9847579175,517556.9611843376,44.36336594310626,199.93694104609315,36.419484696676456,143.12463297953886,-7.943881246429804,-17.906398844076495,K
7,587191.2179033896,517556.9611843376,44.4493179894468,200.12557181374282,37.08926427761915,146.15577576394247,-7.360053711827646,-16.558305154592198,K
8,587191.451048862,517556.9611843376,44.54755801830401,200.3314841197802,37.780896383980476,148.12096289258952,-6.766661634323533,-15.189747621055233,K
9,587191.6841943341,517556.9611843376,44.651711421728876,200.5371361682688,38.46692706086665,149.02785599954979,-6.184784360862224,-13.851169784843949,K
10,587190.518466973,517557.19432980986,43.91959227175864,198.68331703773566,33.79928782132099,126.68065330111087,-10.12030445043765,-23.042801462765972,K
11,587190.7516124453,517557.19432980986,43.98040642226072,198.84250238356296,34.41879040893806,133.18303432192326,-9.561616013322663,-21.740626772568984,K
12,587190.9847579175,517557.19432980986,44.07233417568297,199.08804936267023,35.12571808681443,138.85091741969092,-8.946616088868538,-20.299846278177974,K
13,587191.2179033896,517557.19432980986,44.18867983474546,199.39062105240654,35.873952764503436,143.3954841534508,-8.314727070242022,-18.816418823411354,K
14,587191.451048862,517557.19432980986,44.32132201531133,199.71833083526778,36.62944755854021,146.71783890792324,-7.691874456771124,-17.35479472862717,K
15,587191.6841943341,517557.19432980986,44.4616432476521,200.04242433244343,37.36741202989321,148.8383394245043,-7.094231217758889,-15.955845757305688,K
16,587191.9173398062,517557.19432980986,44.60143842124165,200.34118849700783,38.06995616740372,149.82911343580793,-6.531482253837936,-14.64410674864532,K
17,587192.1504852786,517557.19432980986,44.73367203486752,200.60149370330384,38.72459269628834,149.75865641346203,-6.009079338579177,-13.433011566534084,K
18,587190.2853215009,517557.427475282,43.491467891281715,197.14405745335435,31.670977726323795,108.49001091977884,-11.82049016495792,-27.178871484646884,K
19,587190.518466973,517557.427475282,43.526349604704855,197.22658315370816,32.28964630107413,117.42652038973293,-11.236703303630726,-25.815864196468542,K
20,587190.7516124453,517557.427475282,43.607742567976004,197.47743193796597,33.04593488168761,125.99381971838403,-10.561807686288397,-24.220028518615905,K
21,587190.9847579175,517557.427475282,43.72971720695292,197.86285778292108,33.8680122534464,133.45825886525472,-9.861704953506518,-22.551494917827938,K
22,587191.2179033896,517557.427475282,43.88341615852584,198.33534883877928,34.70810644999891,139.50879192307414,-9.175309708526932,-20.908376128653597,K
23,587191.451048862,517557.427475282,44.05811355588789,198.8436432482973,35.53527774371313,144.10145264022412,-8.522835812174762,-19.344531856461604,K
24,587191.6841943341,517557.427475282,44.24244097654921,199.34205042678173,36.32958434280825,147.32631791735452,-7.912856633740958,-17.88521713332947,K
25,587191.9173398062,517557.427475282,44.42558700107673,199.7967544670442,37.07843360541251,149.31371452422076,-7.347153395664215,-16.53811213678762,K
26,587192.1504852786,517557.427475282,44.59829854988938,200.18814003846398,37.77456114793275,150.17318152732267,-6.8237374019566275,-15.30044334387181,K
27,587192.3836307507,517557.427475282,44.75356388020834,200.50958748449497,38.41502028529015,149.95832132692382,-6.3385435949181925,-14.163215273502113,K
28,587190.0521760285,517557.66062075424,43.04626294275764,195.21960124315186,29.416399942510484,84.31767158685757,-13.629863000247159,-31.663289838590572,K
29,587190.2853215009,517557.66062075424,43.03132319185214,195.0708090881747,29.999720903643137,95.21519164433388,-13.031602288209001,-30.283991570764663,K
30,587190.518466973,517557.66062075424,43.078655283099316,195.19698295621387,30.819619068668146,107.08554990597156,-12.25903621443117,-28.457332602117347,K
31,587190.7516124453,517557.66062075424,43.18523341213258,195.57882088634906,31.74280185534159,118.06502423257795,-11.442431556790993,-26.49616698280094,K
32,587190.9847579175,517557.66062075424,43.34336134321871,196.1635683613923,32.69297695155268,127.35506226323295,-10.65038439166603,-24.57212376153733,K
33,587191.2179033896,517557.66062075424,43.5415933567929,196.87729757469506,33.62837593254892,134.77714426400973,-9.913217424243982,-22.767236244691595,K
34,587191.451048862,517557.66062075424,43.76609637544715,197.64074651750443,34.52595068728978,140.4489092428777,-9.24014568815737,-21.112565326573442,K
35,587191.6841943341,517557.66062075424,44.002228385524525,198.38396077616105,35.37307880571942,144.59689951787206,-8.629149579805102,-19.61071040357548,K
36,587191.9173398062,517557.66062075424,44.23608520335205,199.05605057412598,36.163537209242016,147.45005411182225,-8.072547994110032,-18.248784803177664,K
37,587192.1504852786,517557.66062075424,44.45579383783206,199.62857756644172,36.89560786367245,149.18119934347527,-7.560185974159609,-17.006075747377295,K
38,587192.3836307507,517557.66062075424,44.65239629482577,200.0933446727417,37.57120859215874,149.8821756080063,-7.08118770266703,-15.858471863216854,K
39,587192.6167762228,517557.66062075424,44.82025459041226,200.4567964157399,38.19550707441769,149.56528584671253,-6.624747515994571,-14.780700325186697,K
40,587190.0521760285,517557.8937662265,42.54259943800478,192.53611143894193,27.521701322042027,65.5435926195201,-15.020898115962751,-35.307899174924565,K
41,587190.2853215009,517557.8937662265,42.52819100642709,192.31861301765056,28.416357055328444,81.25345527574456,-14.11183395109865,-33.182304765716445,K
42,587190.518466973,517557.8937662265,42.591260429457634,192.50364332221974,29.48571525101728,96.85181424443145,-13.105545178440355,-30.77050325887067,K
43,587190.7516124453,517557.8937662265,42.72787565709185,193.06206467248202,30.584986705945003,110.27757484713511,-12.142888951146848,-28.419126306672364,K
44,587190.9847579175,517557.8937662265,42.9282644291188,193.9149575298927,31.65618353754981,121.10815524547668,-11.272080891568987,-26.257946929536217,K
45,587191.2179033896,517557.8937662265,43.1779696773678,194.95222766573573,32.67462107579889,129.52640334590185,-10.50334860156891,-24.32571211673798,K
46,587191.451048862,517557.8937662265,43.45956006763308,196.05650467074634,33.62949596271113,135.91980582815563,-9.830064104921945,-22.618876237182572,K
47,587191.6841943341,517557.8937662265,43.754615088804265,197.12509677431066,34.51685636060101,140.70429187808125,-9.237758728203254,-21.112649967219046,K
48,587191.9173398062,517557.8937662265,44.04567379447943,198.08442597079434,35.3369847076166,144.23188788758063,-8.708689086862826,-19.77195110579589,K
49,587192.1504852786,517557.8937662265,44.31786757089301,198.89474938624593,36.09341318699208,146.74369394032425,-8.224454383900927,-18.557874813684776,K
50,587192.3836307507,517557.8937662265,44.56003829486373,199.5464257630855,36.7925222598797,148.35908497952855,-7.767516034984027,-17.431573966756126,K
51,587192.6167762228,517557.8937662265,44.76525176141014,200.05115859333975,37.44332292729874,149.09506515292415,-7.321928834111404,-16.356277572470326,K
52,587192.8499216952,517557.8937662265,44.93072656385053,200.43205302088808,38.05730598121446,148.90594863338657,-6.873420582636065,-15.297817570050482,K
53,587189.8190305564,517558.1269116986,42.118797252046456,190.00073508614489,24.895308780198523,27.981736106570718,-17.223488471847933,-40.89264080543298,K
54,587190.0521760285,517558.1269116986,42.0159377717381,189.17003016528216,25.818240848712325,47.26865502152908,-16.197696923025777,-38.55131595782473,K
55,587190.2853215009,517558.1269116986,42.00447124452591,188.86453161663536,27.123571152637552,69.72840500957425,-14.880900091888357,-35.426943015804916,K
56,587190.518466973,517558.1269116986,42.08700957783691,189.1233513883763,28.42534442311458,88.72670290362336,-13.661665154722328,-32.46052711218662,K
57,587190.7516124453,517558.1269116986,42.2585331055507,189.90444012039586,29.66041034764343,103.77472440715306,-12.598122757907266,-29.81202098624784,K
58,587190.9847579175,517558.1269116986,42.50689281026734,191.09510514980948,30.814400796346433,115.32373619917189,-11.692492013920905,-27.507284679948754,K
59,587191.2179033896,517558.1269116986,42.81422669483344,192.5388815037774,31.88422707767255,124.0338945261344,-10.929999617160888,-25.528896492903034,K
60,587191.451048862,517558.1269116986,43.15905885853409,194.06988011024754,32.87069890422649,130.5904161578571,-10.288359954307602,-23.83823981896961,K
61,587191.6841943341,517558.1269116986,43.51873965737432,195.54414228452197,33.776912628616245,135.6082900184576,-9.741827028758074,-22.385361123635633,K
62,587191.9173398062,517558.1269116986,43.8718462045991,196.85997824185057,34.60812326492039,139.5619429360871,-9.263722939678715,-21.115416243202446,K
63,587192.1504852786,517558.1269116986,44.200198431360775,197.96420990457045,35.37192614964628,142.7448743604161,-8.828272281714497,-19.97337703228656,K
64,587192.3836307507,517558.1269116986,44.49024325776491,198.84626131791185,36.07832038374501,145.2720300693035,-8.4119228740199,-18.907342954461733,K
65,587192.6167762228,517558.1269116986,44.73369161110724,199.52517176086627,36.73955669051519,147.1226822436409,-7.994134920592053,-17.870501254600534,K
66,587192.8499216952,517558.1269116986,44.92742886808283,200.03514304752903,37.369856949583976,148.20524314197428,-7.5575719184988515,-16.821732533792677,K
67,587193.0830671673,517558.1269116986,45.0728311248432,200.41373818215615,37.985135973133424,148.4219795189018,-7.087695151709774,-15.724983265591197,K
68,587189.5858850842,517558.36005717085,41.81967867502613,187.99270591566264,24.54622942200795,26.931605064324245,-17.273449253018182,-41.304595827355165,K
69,587189.8190305564,517558.36005717085,41.608921001459755,186.32395663413197,23.453646867567656,11.606902423776871,-18.1552741338921,-43.63312889862047,K
70,587190.0521760285,517558.36005717085,41.495285606178,185.208842443753,24.9380534966268,40.78189397223617,-16.5572321095512,-39.9014776442124,K
71,587190.2853215009,517558.36005717085,41.49010747086181,184.79693693369308,26.407983649263414,65.51261362978923,-15.082123821598394,-36.3511322119145,K
72,587190.518466973,517558.36005717085,41.59618910839254,185.14034867246252,27.776176582604897,84.84571580529064,-13.82001252578764,-33.224227560306204,K
73,587190.7516124453,517558.36005717085,41.80722846853574,186.18113740491458,29.042422601996034,99.52310098699083,-12.764805866539707,-30.532533090890112,K
74,587190.9847579175,517558.36005717085,42.1084230385721,187.7659879039603,30.210311906875173,110.40688586964242,-11.898111131696925,-28.255893413054284,K
75,587191.2179033896,517558.36005717085,42.47816770748258,189.68316915167392,31.283630700291138,118.39741913662932,-11.194537007191439,-26.353624959250556,K
76,587191.451048862,517558.36005717085,42.890573721463035,191.70950819068491,32.266397365365464,124.37798280803493,-10.624176356097571,-24.770422576047487,K
77,587191.6841943341,517558.36005717085,43.31840271584068,193.65296261932724,33.163659777058534,129.12916395057994,-10.15474293878215,-23.442099205261695,K
78,587191.9173398062,517558.36005717085,43.73596012386825,195.37982138202483,33.98246110671781,133.22965128079593,-9.753499017150446,-22.300868643392644,K
79,587192.1504852786,517558.36005717085,44.121531974073186,196.822442103084,34.73252756719742,136.99088006156396,-9.389004406875763,-21.279869457826067,K
80,587192.3836307507,517558.36005717085,44.45906290552973,197.97038860657784,35.42637292826677,140.46604339120668,-9.032689977262955,-20.316869917965562,K
81,587192.6167762228,517558.36005717085,44.738930395409135,198.85212423515665,36.07885302906255,143.52979168415413,-8.660077366346584,-19.356916425599735,K
82,587192.8499216952,517558.36005717085,44.957833831819876,199.51507490761867,36.70647800193045,145.9851148960463,-8.251355829889427,-18.353544035854664,K
83,587193.0830671673,517558.36005717085,45.1179538710365,200.00970593127252,37.3267834610483,147.65262220244156,-7.791170409988197,-17.268448015746,K
84,587193.3162126394,517558.36005717085,45.22562500890788,200.3799762079661,37.957871176098294,148.42246525876683,-7.267753832809589,-16.06999092080672,K
85,587193.5493581118,517558.36005717085,45.289794308463975,200.65973084308905,38.61805635557994,148.27079773637215,-6.671737952884037,-14.731217164387054,K
86,587189.3527396119,517558.5932026431,41.69408211939479,187.01191427738,26.604506523375083,66.00987607531108,-15.08957559601971,-36.19116869585794,K
87,587189.5858850842,517558.5932026431,41.36887423030068,184.4424792125018,25.17505930982127,46.94689587913883,-16.193814920479415,-39.144925313481785,K
88,587189.8190305564,517558.5932026431,41.13568281891662,182.30658996276628,24.607715775879562,40.54868668539062,-16.52796704303706,-40.17914839482504,K
89,587190.0521760285,517558.5932026431,41.015373148906505,180.87615913572688,25.250056065506936,52.96145234471281,-15.76531708339957,-38.43758052904581,K
90,587190.2853215009,517558.5932026431,41.02073288826944,180.3428088743342,26.376610350222187,70.44416169558993,-14.644122538047256,-35.69931960487958,K
91,587190.518466973,517558.5932026431,41.15459023328678,180.77220223764985,27.581322099078044,85.81996264375684,-13.573268134208739,-32.981176722372915,K
92,587190.7516124453,517558.5932026431,41.409155631935725,182.08815901867442,28.752510293267452,97.70610157458356,-12.656645338668273,-30.564847665976476,K
