grid_id,X,Y,I1,Var_I1,I2,Var_I2,Diferencia_I2_I1,Cambio_relativo_porcentaje,Variable
1,587191.2179033896,517556.49489339313,15.043885261824535,3.353514483085731,14.771441301051942,4.924396620676052,-0.27244396077259303,-1.8109946734567877,Hv
2,587190.9847579175,517556.7280388654,15.045092701914095,3.35104691708585,14.771502536307196,4.92438839227513,-0.2735901656068993,-1.8184677956294155,Hv
3,587191.2179033896,517556.7280388654,15.045119105172336,3.3501504476113073,14.771444215179477,4.9243962292169225,-0.2736748899928596,-1.8190277396924919,Hv
4,587191.451048862,517556.7280388654,15.045019719683383,3.3493336250439922,14.771436850369296,4.924397218507119,-0.2735828693140867,-1.81842812047736,Hv
5,587190.7516124453,517556.9611843376,15.046283862711409,3.3486860121909885,14.773120866076674,4.924168982511312,-0.27316299663473487,-1.815484800946123,Hv
6,587190.9847579175,517556.9611843376,15.046404862867053,3.347690353424979,14.771868488182621,4.92433910622461,-0.27453637468443226,-1.8245978171301185,Hv
7,587191.2179033896,517556.9611843376,15.046370808599802,3.3467788630622834,14.771514706239817,4.924386756360535,-0.27485610235998514,-1.826726895517491,Hv
8,587191.451048862,517556.9611843376,15.046199795189493,3.3459501424899405,14.7714417142586,4.924396565140446,-0.2747580809308925,-1.8260961882131659,Hv
9,587191.6841943341,517556.9611843376,15.045912067100495,3.345202401780834,14.77143189411484,4.92439788417779,-0.27448017298565475,-1.8242840431444176,Hv
10,587190.518466973,517557.19432980986,15.047421749393761,3.346444078329046,14.793405598858993,4.92110021830695,-0.25401615053476867,-1.6881041467785178,Hv
11,587190.7516124453,517557.19432980986,15.047678294116055,3.345341243992877,14.779018203614354,4.923337656315622,-0.2686600905017009,-1.7853923060459926,Hv
12,587190.9847579175,517557.19432980986,15.047744210455443,3.344327633207588,14.773401680553983,4.924130529306226,-0.27434252990146035,-1.8231472177128198,Hv
13,587191.2179033896,517557.19432980986,15.047638084791158,3.343401976579841,14.771814681694137,4.924346364674624,-0.27582340309702147,-1.8330013091941635,Hv
14,587191.451048862,517557.19432980986,15.04738280172898,3.342562364044276,14.771485418020053,4.9243906926771075,-0.27589738370892825,-1.8335240576004153,Hv
15,587191.6841943341,517557.19432980986,15.047003424141844,3.341806493546751,14.771434923596715,4.924397476780319,-0.2755685005451287,-1.8313845805537514,Hv
16,587191.9173398062,517557.19432980986,15.046525331130258,3.341131881683116,14.771429373277984,4.924398222015938,-0.27509595785227425,-1.828302227911178,Hv
