Nodo,X,Y,Variable,Observado,Predicho,Residuo,Residuo_absoluto,Residuo_estandarizado,var1.pred,var1.var,observed,residual,zscore,fold
1,587213.774,517578.231,CE_corregida_OLS,578.3437,566.1125050633757,12.23119493662432,12.23119493662432,0.1809085857042701,566.1125050633757,4571.086281013036,578.3437,12.23119493662432,0.1809085857042701,1
2,587211.773,517576.571,CE_corregida_OLS,622.9981,547.7835662023606,75.21453379763943,75.21453379763943,1.2409127581533554,547.7835662023606,3673.8467523035056,622.9981,75.21453379763943,1.2409127581533554,2
3,587209.772,517574.911,CE_corregida_OLS,544.8529,541.2398126689343,3.6130873310656852,3.6130873310656852,0.05960322388400098,541.2398126689343,3674.6621489238432,544.8529,3.6130873310656852,0.05960322388400098,3
4,587207.771,517573.251,CE_corregida_OLS,497.4076,553.0759667432972,-55.668366743297156,55.668366743297156,-0.9182367422920059,553.0759667432972,3675.4255173084716,497.4076,-55.668366743297156,-0.9182367422920059,4
5,587205.77,517571.59,CE_corregida_OLS,617.4163,443.0188879966056,174.39741200339438,174.39741200339438,2.8766525589070735,443.0188879966056,3675.405403522882,617.4163,174.39741200339438,2.8766525589070735,5
6,587203.769,517569.93,CE_corregida_OLS,370.8868,527.568351178855,-156.681551178855,156.681551178855,-2.5845264202360316,527.568351178855,3675.139028254563,370.8868,-156.681551178855,-2.5845264202360316,6
7,587201.768,517568.27,CE_corregida_OLS,462.9865,442.1950964882554,20.79140351174459,20.79140351174459,0.34296260318038524,442.1950964882554,3675.141630901565,462.9865,20.79140351174459,0.34296260318038524,7
8,587199.767,517566.61,CE_corregida_OLS,459.2653,429.86590277530854,29.399397224691484,29.399397224691484,0.48495490046080036,429.86590277530854,3675.1422021608687,459.2653,29.399397224691484,0.48495490046080036,8
9,587197.766,517564.95,CE_corregida_OLS,344.8384,443.33101799232685,-98.49261799232687,98.49261799232687,-1.6246756574649683,443.33101799232685,3675.1410848707637,344.8384,-98.49261799232687,-1.6246756574649683,9
10,587195.765,517563.29,CE_corregida_OLS,421.123,387.170248540467,33.952751459532976,33.952751459532976,0.5600652852248896,387.170248540467,3675.1294405566277,421.123,33.952751459532976,0.5600652852248896,10
11,587193.764,517561.63,CE_corregida_OLS,373.6777,442.2279804581531,-68.55028045815311,68.55028045815311,-1.1307795254948436,442.2279804581531,3675.0444751847035,373.6777,-68.55028045815311,-1.1307795254948436,11
12,587191.763,517559.97,CE_corregida_OLS,421.123,404.1942041420057,16.928795857994317,16.928795857994317,0.27926789483185505,404.1942041420057,3674.600360831569,421.123,16.928795857994317,0.27926789483185505,12
13,587189.762,517558.31,CE_corregida_OLS,375.5383,456.9088595750903,-81.37055957509028,81.37055957509028,-1.3664691526891537,456.9088595750903,3545.9690514554272,375.5383,-81.37055957509028,-1.3664691526891537,13
14,587188.015,517556.735,CE_corregida_OLS,466.7077,433.5316846826146,33.176015317385406,33.176015317385406,0.5026125330321435,433.5316846826146,4356.942395390733,466.7077,33.176015317385406,0.5026125330321435,14
15,587190.888,517553.272,CE_corregida_OLS,484.3834,492.8721104185367,-8.488710418536698,8.488710418536698,-0.12830512728567947,492.8721104185367,4377.190149142631,484.3834,-8.488710418536698,-0.12830512728567947,15
16,587192.635,517554.846,CE_corregida_OLS,507.6409,468.19776600318175,39.44313399681823,39.44313399681823,0.663350150099969,468.19776600318175,3535.55148993219,507.6409,39.44313399681823,0.663350150099969,16
17,587194.636,517556.506,CE_corregida_OLS,467.638,498.4313088073594,-30.793308807359438,30.793308807359438,-0.507963192180271,498.4313088073594,3674.922858201878,467.638,-30.793308807359438,-0.507963192180271,17
