Respuesta,Modelo_ID_M2,RMSE_M1,RMSE_M2,Mejora_RMSE_porcentaje,MAE_M1,MAE_M2,Mejora_MAE_porcentaje,Cor_Pearson_M2,R2_incremental_LOOCV,Moran_I_M1,Moran_I_Mejor_M2,Clasificacion_Mejor_M2,n_Cook_Mejor_M2,n_Residuos_extremos_Mejor_M2,Robustez_publicacion,Advertencia_modelo
NDVI,M2_Indice_K,0.014949516403178582,0.014385156642562673,3.7751037919588786,0.012577648788047065,0.011596811423691818,7.798256899074554,0.6938132397652167,0.07407693497517132,0.3326507749178235,0.2436886097309276,Autocorrelación residual positiva,4,3,Moderada,Índice instrumental nominal
Potasio_savia,M2_Indice_P,437.7390318269848,424.1678421439683,3.1002923423060116,346.4390673166771,336.4404674248326,2.8861063416686936,0.5522234331917482,0.061044665585343875,0.1311342570515271,0.04248638777534146,Compatible con referencia permutada,7,2,Moderada-alta,Índice instrumental nominal
Nitratos,M2_Indice_N,807.8138913260537,821.5608978331218,-1.701754160788427,670.5769288324751,689.6157175112377,-2.8391654797773196,0.5879411363773717,-0.034324679938144885,-0.005688657220302161,-0.010783084525311456,Compatible con referencia permutada,3,0,Sin evidencia de mejora,Índice instrumental nominal
Diametro,M2_Indice_N,0.3883146823358789,0.3952296961921923,-1.7807757910972135,0.26781135815360324,0.27683588203981346,-3.369731570919485,0.18389293934360001,-0.03593263206376007,0.01892838610751478,-0.060730895620793444,Compatible con referencia permutada,4,1,Sin evidencia de mejora,Índice instrumental nominal
Macollas,M2_Exploratorio_pH_T_Hv,1.0290327309811467,1.0711223016626963,-4.090207183343788,0.8085734986515379,0.8137511749979353,-0.6403470253517035,0.6841438276206052,-0.08347712314714331,0.11466232096363789,0.1456777130953318,Compatible con referencia permutada,3,2,Sin evidencia de mejora,pH y Hv con alcance exploratorio
Altura,M2_Exploratorio_pH_T_Hv,5.2357437065642145,5.477668815782966,-4.620644607096457,4.323755222310528,4.527297386507886,-4.70753208107349,0.4050125113205088,-0.09454792780043814,0.07138341123044636,-0.0042290120593836055,Compatible con referencia permutada,7,2,Sin evidencia de mejora,pH y Hv con alcance exploratorio
Calcio_savia,M2_CE_corregida,245.1282160833154,260.5714701505448,-6.3000719843612325,191.23699964750452,198.59663917093079,-3.848439128929988,0.7219284129215114,-0.12997053038803824,-0.14034834156129503,-0.14892933503362846,Compatible con referencia permutada,9,3,Sin evidencia de mejora,CE corregida linealmente equivalente a CE original
