Variable_suelo,Variable_cultivo,n_original,Pearson_original,Spearman_original,n_residual,Pearson_residual,Spearman_residual,Cambio_abs_Spearman,Estabilidad_direccion,Magnitud_residual
Suelo_P,Diametro,56,0.0989239152763178,0.13178135953131817,56,0.11411784535448873,0.08653451811346549,-0.04524684141785268,Dirección estable,Muy limitada
Suelo_P,Macollas,56,0.4994698930395495,0.514212794130293,56,0.0697778723524262,0.0876965140123035,-0.4265162801179895,Dirección estable,Muy limitada
Suelo_P,NDVI,56,0.20731854083318985,0.15264517867010344,56,0.3458785204853255,0.3446343130553657,0.19198913438526224,Dirección estable,Limitada
Suelo_P,Nitratos,56,-0.10485990148378614,-0.11571249284824053,56,-0.1863521184615057,-0.15461380724538618,0.03890131439714564,Dirección estable,Muy limitada
Suelo_P,Potasio_savia,56,-0.44050114593535195,-0.4060992296906813,56,-0.37206523834811056,-0.3572795625427204,-0.04881966714796088,Dirección estable,Limitada
Suelo_pH,Altura,56,-0.23462425913742452,-0.18308896418636195,56,0.19260757774618287,0.22200956937799043,0.03892060519162849,Dirección cambia tras ajuste,Limitada
Suelo_pH,Calcio_savia,56,-0.4426945003814878,-0.4152387886145772,56,0.1678407570545248,0.18848579096721518,-0.226752997647362,Dirección cambia tras ajuste,Muy limitada
Suelo_pH,Diametro,56,-0.022825223078282116,0.09216149034926946,56,-0.03947729019953645,0.11510594668489404,0.022944456335624586,Dirección estable,Muy limitada
Suelo_pH,Macollas,56,0.1478961920452613,0.08893046122901394,56,-0.1419287111746156,-0.24032809295967192,0.15139763173065798,Dirección cambia tras ajuste,Limitada
Suelo_pH,NDVI,56,0.13255808292987953,0.0995692790508119,56,0.296198215666234,0.29460013670539986,0.19503085765458794,Dirección estable,Limitada
Suelo_pH,Nitratos,56,-0.13760435715829364,-0.12515841063177036,56,0.04583811491693976,0.036295283663704714,-0.08886312696806564,Dirección cambia tras ajuste,Muy limitada
Suelo_pH,Potasio_savia,56,-0.3225875888912326,-0.28175021775953374,56,-0.06892536401403983,-0.030485304169514695,-0.25126491359001907,Dirección estable,Muy limitada
Suelo_T,Altura,56,-0.07525388797382128,-0.13626576445977692,56,-0.09125980355281903,-0.11161995898838004,-0.024645805471396887,Dirección estable,Muy limitada
Suelo_T,Calcio_savia,56,-0.09882654362803968,-0.11075549714492564,56,0.08863681721095087,0.09593465371622359,-0.014820843428702046,Dirección cambia tras ajuste,Muy limitada
Suelo_T,Diametro,56,-0.1465180632188434,-0.16087239376248594,56,-0.2217340935462431,-0.1556390977443609,-0.005233296018125028,Dirección estable,Muy limitada
Suelo_T,Macollas,56,0.1917629959124316,0.21900068863953007,56,-0.05504741045960613,-0.0026657552973342446,-0.21633493334219583,Dirección cambia tras ajuste,Muy limitada
Suelo_T,NDVI,56,-0.07930143841665847,-0.060385961512026846,56,-0.07933962402701848,0.010526315789473684,-0.049859645722553164,Dirección cambia tras ajuste,Muy limitada
Suelo_T,Nitratos,56,0.14637253385022736,0.08973621894353347,56,0.10214803241996324,0.06404647983595352,-0.025689739107579948,Dirección estable,Muy limitada
Suelo_T,Potasio_savia,56,-0.061597916117680736,-0.07825441545763635,56,0.0047251526153966545,-0.09856459330143541,0.020310177843799057,Dirección estable,Muy limitada
