Variable_suelo,Variable_cultivo,Escenario,Clase_distancia,n_pares,Distancia_media_m,Asociacion_cruzada_media,DE_asociacion
Suelo_CE,Altura,Original,"[1.82,5.4]",257,3.6451846732626887,-0.11133219730552799,0.6436997469767821
Suelo_CE,Altura,Original,"(5.4,8.07]",259,6.701124478376243,-0.10327103845669464,0.5412149023252936
Suelo_CE,Altura,Original,"(8.07,11.2]",254,9.731098454161252,-0.10148658605731638,0.5820562274364989
Suelo_CE,Altura,Original,"(11.2,15.9]",257,13.789795449215488,-0.08910015159033426,0.6641244322272809
Suelo_CE,Altura,Original,"(15.9,21.8]",258,18.87249627748128,0.014519671445134453,0.7091182001303659
Suelo_CE,Altura,Original,"(21.8,34.9]",255,26.95148510136917,0.4082118773588234,0.8530541083016995
Suelo_CE,Altura,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.027600101285908337,0.6901464975839211
Suelo_CE,Altura,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.05970069413426835,0.680849238897828
Suelo_CE,Altura,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,0.09597493268406987,0.6826900583396456
Suelo_CE,Altura,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.09838145421400157,0.6733189591857708
Suelo_CE,Altura,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.017910426136659587,0.6608006062082236
Suelo_CE,Altura,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.01437265624268062,0.7345461041519682
Suelo_CE,Calcio_savia,Original,"[1.82,5.4]",257,3.6451846732626887,-0.47029841111473064,0.7734311981867914
Suelo_CE,Calcio_savia,Original,"(5.4,8.07]",259,6.701124478376243,-0.31967043653490423,0.6249607777318733
Suelo_CE,Calcio_savia,Original,"(8.07,11.2]",254,9.731098454161252,-0.1325650921373332,0.49952388255126834
Suelo_CE,Calcio_savia,Original,"(11.2,15.9]",257,13.789795449215488,-0.006416235284434288,0.5606865812533596
Suelo_CE,Calcio_savia,Original,"(15.9,21.8]",258,18.87249627748128,0.30477200036318497,0.6849833189423263
Suelo_CE,Calcio_savia,Original,"(21.8,34.9]",255,26.95148510136917,0.6776391870608188,0.7171721147452262
Suelo_CE,Calcio_savia,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.041124735530702845,0.6352243377730563
Suelo_CE,Calcio_savia,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.03840079563181772,0.7197309025094912
Suelo_CE,Calcio_savia,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,2.230493653888647e-4,0.7489565534347316
Suelo_CE,Calcio_savia,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.04048704408630339,0.6369850623463467
Suelo_CE,Calcio_savia,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.012273078902228918,0.6866834849503348
Suelo_CE,Calcio_savia,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.013390175192873695,0.7015593828409965
Suelo_CE,Diametro,Original,"[1.82,5.4]",257,3.6451846732626887,0.07714052678776007,0.7206784822198253
Suelo_CE,Diametro,Original,"(5.4,8.07]",259,6.701124478376243,-0.041428788480969224,0.6869310721783521
Suelo_CE,Diametro,Original,"(8.07,11.2]",254,9.731098454161252,-0.08427518283536617,0.7049051144907134
