Variable_suelo,Variable_cultivo,Escenario,Moran_bivariado,Sim_Q025,Sim_Mediana,Sim_Q975,p_Monte_Carlo_informativo,Clasificacion
Suelo_CE,Altura,Original,-0.13888940965123134,-0.20814231574603792,-0.001052624353205674,0.20519181682958812,0.232,Compatible con la referencia permutada
Suelo_CE,Altura,Residual_ajustado,-0.01825609281569754,-0.17597457686073883,-0.0023852461328845364,0.18017942966300068,0.863,Compatible con la referencia permutada
Suelo_CE,Calcio_savia,Original,-0.48791103933676827,-0.21917932853697636,6.07002442550253e-4,0.21706360165166916,0.001,Asociación espacial negativa menor que la referencia
Suelo_CE,Calcio_savia,Residual_ajustado,0.02830319397037317,-0.17654357449919425,-0.0021502463316757144,0.16743537172685402,0.731,Compatible con la referencia permutada
Suelo_CE,Diametro,Original,0.03519159194753354,-0.21692331584701469,-0.001848716237076351,0.23474131725969835,0.732,Compatible con la referencia permutada
Suelo_CE,Diametro,Residual_ajustado,0.07870305117455328,-0.16042919558281687,0.008021825035313509,0.18307418223653837,0.43,Compatible con la referencia permutada
Suelo_CE,Macollas,Original,0.43610023756709854,-0.1985458054913719,-0.004943971485550124,0.2101971481372962,0.001,Asociación espacial positiva mayor que la referencia
Suelo_CE,Macollas,Residual_ajustado,0.033138412119928594,-0.18293661330119906,3.6644183418569194e-4,0.17158373860522178,0.712,Compatible con la referencia permutada
Suelo_CE,NDVI,Original,0.01452653482620777,-0.20842627233908978,-0.005030408534514685,0.22005373497380476,0.85,Compatible con la referencia permutada
Suelo_CE,NDVI,Residual_ajustado,0.21990882516760832,-0.17686430055889327,-0.0043466116802337055,0.16326716861745824,0.015,Asociación espacial positiva mayor que la referencia
Suelo_CE,Nitratos,Original,-0.18516891109361006,-0.22114781147233722,0.002662219404553892,0.20436817089374681,0.086,Compatible con la referencia permutada
Suelo_CE,Nitratos,Residual_ajustado,-0.04623874371096957,-0.1771675281447379,6.317307435002322e-4,0.17204972175128186,0.611,Compatible con la referencia permutada
Suelo_CE,Potasio_savia,Original,-0.46605184545544015,-0.22497219867042634,9.043946074942157e-4,0.23213735681733066,0.001,Asociación espacial negativa menor que la referencia
Suelo_CE,Potasio_savia,Residual_ajustado,-0.23816121501565912,-0.16496818355402765,0.005386244453852211,0.17379512373672246,0.005,Asociación espacial negativa menor que la referencia
Suelo_CE_corregida_OLS,Altura,Original,-0.13888940965123173,-0.1992985328201482,0.004377012182832776,0.21384770942815393,0.188,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,Altura,Residual_ajustado,-0.018256092815697508,-0.16791699812694852,-0.0014401829889659845,0.16353769898785103,0.852,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,Calcio_savia,Original,-0.48791103933676616,-0.21777059160090112,-0.0018925222716075964,0.21231950260812535,0.001,Asociación espacial negativa menor que la referencia
Suelo_CE_corregida_OLS,Calcio_savia,Residual_ajustado,0.028303193970375406,-0.17079180747589495,-0.0051977273768151686,0.1708390912156732,0.708,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,Diametro,Original,0.035191591947532595,-0.19677205502093584,9.335849787015931e-4,0.23732759148847188,0.754,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,Diametro,Residual_ajustado,0.07870305117455206,-0.17847879912694117,0.004939214441428083,0.17319955669017095,0.451,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,Macollas,Original,0.4361002375670974,-0.2023632587458399,0.007059246572834226,0.22176541532945318,0.001,Asociación espacial positiva mayor que la referencia
Suelo_CE_corregida_OLS,Macollas,Residual_ajustado,0.033138412119929926,-0.16943165797656978,0.004077844895593969,0.1713554122682906,0.736,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,NDVI,Original,0.014526534826211655,-0.2063074618614627,-0.0062434277870201775,0.2212127484272313,0.858,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,NDVI,Residual_ajustado,0.21990882516761334,-0.18127275319775427,-0.005101817225601466,0.16996894393519882,0.008,Asociación espacial positiva mayor que la referencia
Suelo_CE_corregida_OLS,Nitratos,Original,-0.18516891109361122,-0.2095063893743639,0.006728697153939576,0.22920035023348434,0.081,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,Nitratos,Residual_ajustado,-0.04623874371097091,-0.17420895451552174,4.003970467562426e-4,0.18078886769481292,0.601,Compatible con la referencia permutada
Suelo_CE_corregida_OLS,Potasio_savia,Original,-0.46605184545544215,-0.22371756790292727,-8.127444266887373e-4,0.2244971222525674,0.001,Asociación espacial negativa menor que la referencia
Suelo_CE_corregida_OLS,Potasio_savia,Residual_ajustado,-0.2381612150156614,-0.17991614218692842,0.004944923182957399,0.1774097114479007,0.01,Asociación espacial negativa menor que la referencia
Suelo_Hv,Altura,Original,0.05473694160156314,-0.1229626503300542,0.0019728286483047114,0.12056090294038331,0.414,Compatible con la referencia permutada
Suelo_Hv,Altura,Residual_ajustado,-0.048155393570319276,-0.11849840089063869,-8.294422531694916e-4,0.12426935479197972,0.441,Compatible con la referencia permutada
Suelo_Hv,Calcio_savia,Original,0.10878134638192236,-0.1314648243307916,-0.006246411792250986,0.12334626266420362,0.087,Compatible con la referencia permutada
Suelo_Hv,Calcio_savia,Residual_ajustado,0.024598475319835264,-0.11321219173815175,6.956833849320966e-4,0.11341197427984458,0.693,Compatible con la referencia permutada
Suelo_Hv,Diametro,Original,0.0869340490693704,-0.13751394586069404,-2.3290331954813165e-4,0.13230938867310127,0.198,Compatible con la referencia permutada
Suelo_Hv,Diametro,Residual_ajustado,0.053511628331695586,-0.11633295833820025,-4.0490538653667685e-4,0.11370550376500553,0.388,Compatible con la referencia permutada
Suelo_Hv,Macollas,Original,-0.06113353264968249,-0.13970288138274606,-0.0018252552578442757,0.12441213457698916,0.362,Compatible con la referencia permutada
Suelo_Hv,Macollas,Residual_ajustado,-0.09881597895805568,-0.11966134358916519,-0.0020886377449214643,0.11289773693006562,0.124,Compatible con la referencia permutada
Suelo_Hv,NDVI,Original,0.07164879260581425,-0.12364614398559887,-0.0015052801727420042,0.13341299545344382,0.28,Compatible con la referencia permutada
Suelo_Hv,NDVI,Residual_ajustado,-0.023779990385072548,-0.11564344772673135,3.8704413920001996e-4,0.12112621662588555,0.696,Compatible con la referencia permutada
Suelo_Hv,Nitratos,Original,0.03290164656753896,-0.13747791564111375,0.006017861862722383,0.12788463458785537,0.675,Compatible con la referencia permutada
Suelo_Hv,Nitratos,Residual_ajustado,0.018702862203930495,-0.12133030033243777,0.0025189509742098563,0.12162131977685901,0.797,Compatible con la referencia permutada
Suelo_Hv,Potasio_savia,Original,0.057020151958248555,-0.13459643198523527,-0.0015061857832830794,0.12844283304227713,0.39,Compatible con la referencia permutada
Suelo_Hv,Potasio_savia,Residual_ajustado,-0.11771239136280925,-0.12116069055656037,0.002313307811097296,0.1149850538040042,0.052,Compatible con la referencia permutada
Suelo_K,Altura,Original,-0.13924705526055156,-0.22242977299523428,-0.0013078641963284513,0.22791273242263704,0.214,Compatible con la referencia permutada
Suelo_K,Altura,Residual_ajustado,-0.01742858133097855,-0.17590983329969778,8.459932831675973e-4,0.1848156117927957,0.836,Compatible con la referencia permutada
Suelo_K,Calcio_savia,Original,-0.4856604700619659,-0.2139626818779462,0.0037855691319220036,0.2362059603091643,0.001,Asociación espacial negativa menor que la referencia
Suelo_K,Calcio_savia,Residual_ajustado,0.029101515916785024,-0.17991538886443262,-0.007027863499640956,0.16771573906603487,0.708,Compatible con la referencia permutada
Suelo_K,Diametro,Original,0.03589248965797336,-0.21341142070332214,-0.00653816579680927,0.24087336944983476,0.728,Compatible con la referencia permutada
Suelo_K,Diametro,Residual_ajustado,0.0791137786964981,-0.17158841234100852,-0.0025955388280789445,0.17386652542485212,0.37,Compatible con la referencia permutada
Suelo_K,Macollas,Original,0.43508972195960843,-0.20364525632044514,0.0060506445481086175,0.20985379169081256,0.001,Asociación espacial positiva mayor que la referencia
