Respuesta,Modelo_ID,Tipo_modelo,Moran_I,Esperanza,Varianza,Sim_Q025,Sim_Mediana,Sim_Q975,Clasificacion
Macollas,M1_Tratamientos,M1,0.11466232096363789,-0.01818181818181818,0.007403843150743823,-0.17856725181679076,-0.02128061627505156,0.15349631067556427,Compatible con referencia permutada
Altura,M1_Tratamientos,M1,0.07138341123044636,-0.01818181818181818,0.0076176372192015614,-0.18532698025520444,-0.02559431477175413,0.1650740481920094,Compatible con referencia permutada
Diametro,M1_Tratamientos,M1,0.01892838610751478,-0.01818181818181818,0.006309685989513425,-0.17006164995238282,-0.01792034455334317,0.1350207568007845,Compatible con referencia permutada
NDVI,M1_Tratamientos,M1,0.3326507749178235,-0.01818181818181818,0.007645618717703273,-0.1910253322951952,-0.021986607803425567,0.1692971967310926,Autocorrelación residual positiva
Nitratos,M1_Tratamientos,M1,-0.005688657220302161,-0.01818181818181818,0.007662540262713289,-0.18106693301865423,-0.022240612459273966,0.15697139073263747,Compatible con referencia permutada
Potasio_savia,M1_Tratamientos,M1,0.1311342570515271,-0.01818181818181818,0.007589707577084258,-0.16836679637481425,-0.030108581010483054,0.15509621086943307,Compatible con referencia permutada
Calcio_savia,M1_Tratamientos,M1,-0.14034834156129503,-0.01818181818181818,0.0074807398685934065,-0.18421755934056575,-0.021293572988192074,0.16080956648498726,Compatible con referencia permutada
Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,-0.0042290120593836055,-0.01818181818181818,0.007610003709233969,-0.18447471960953288,-0.0223622157333649,0.16153619065512534,Compatible con referencia permutada
Calcio_savia,M2_CE_corregida,Mejor_M2,-0.14892933503362846,-0.01818181818181818,0.007467701796479805,-0.18528350424489834,-0.01602862666229287,0.1603387161074689,Compatible con referencia permutada
Diametro,M2_Indice_N,Mejor_M2,-0.060730895620793444,-0.01818181818181818,0.006544877832556827,-0.17861087873590956,-0.022133404774838637,0.13601262453525167,Compatible con referencia permutada
Macollas,M2_Exploratorio_pH_T_Hv,Mejor_M2,0.1456777130953318,-0.01818181818181818,0.007266915246183302,-0.17473151752512237,-0.019450324942724143,0.15892902833713254,Compatible con referencia permutada
NDVI,M2_Indice_K,Mejor_M2,0.2436886097309276,-0.01818181818181818,0.007580931395668469,-0.16923140176463455,-0.020344853270670007,0.17545243589480553,Autocorrelación residual positiva
Nitratos,M2_Indice_N,Mejor_M2,-0.010783084525311456,-0.01818181818181818,0.007702166936977759,-0.18249098655637389,-0.022252708961852587,0.161286628051465,Compatible con referencia permutada
Potasio_savia,M2_Indice_P,Mejor_M2,0.04248638777534146,-0.01818181818181818,0.007625804765674897,-0.18310089959717077,-0.012759975440357802,0.1616586966691272,Compatible con referencia permutada
