Respuesta,Modelo_ID,Tipo_modelo,Distancia_m,Semivarianza,Pares
Macollas,M1_Tratamientos,M1,2.680754064048759,0.9143848516713885,124
Macollas,M1_Tratamientos,M1,5.180440049782566,0.8976136587115808,260
Macollas,M1_Tratamientos,M1,8.384312068734898,1.1479850686047317,293
Macollas,M1_Tratamientos,M1,12.162226523739639,1.3436587121508452,255
Macollas,M1_Tratamientos,M1,15.718064732803336,1.2482646969677973,153
Macollas,M1_Tratamientos,M1,19.034863175121963,1.1437865652783015,153
Altura,M1_Tratamientos,M1,2.680754064048759,23.207350503167522,124
Altura,M1_Tratamientos,M1,5.180440049782566,27.520786585619774,260
Altura,M1_Tratamientos,M1,8.384312068734898,27.631419404417155,293
Altura,M1_Tratamientos,M1,12.162226523739639,24.822281111250664,255
Altura,M1_Tratamientos,M1,15.718064732803336,25.616143291990117,153
Altura,M1_Tratamientos,M1,19.034863175121963,27.87626548365787,153
Diametro,M1_Tratamientos,M1,2.680754064048759,0.16817530145602538,124
Diametro,M1_Tratamientos,M1,5.180440049782566,0.17297413394641406,260
Diametro,M1_Tratamientos,M1,8.384312068734898,0.1563898295900627,293
Diametro,M1_Tratamientos,M1,12.162226523739639,0.1867698651957489,255
Diametro,M1_Tratamientos,M1,15.718064732803336,0.17481590796296606,153
Diametro,M1_Tratamientos,M1,19.034863175121963,0.1600657626737222,153
NDVI,M1_Tratamientos,M1,2.680754064048759,1.5205791269653674e-4,124
NDVI,M1_Tratamientos,M1,5.180440049782566,1.641722740426571e-4,260
NDVI,M1_Tratamientos,M1,8.384312068734898,2.2439740832978607e-4,293
NDVI,M1_Tratamientos,M1,12.162226523739639,2.6753707072322283e-4,255
NDVI,M1_Tratamientos,M1,15.718064732803336,2.9579862900593463e-4,153
NDVI,M1_Tratamientos,M1,19.034863175121963,2.957998185552395e-4,153
Nitratos,M1_Tratamientos,M1,2.680754064048759,600401.7779149973,124
Nitratos,M1_Tratamientos,M1,5.180440049782566,688245.4182975745,260
Nitratos,M1_Tratamientos,M1,8.384312068734898,609231.2294083488,293
Nitratos,M1_Tratamientos,M1,12.162226523739639,695005.2851877979,255
Nitratos,M1_Tratamientos,M1,15.718064732803336,620513.1976028932,153
Nitratos,M1_Tratamientos,M1,19.034863175121963,715103.1846199817,153
Potasio_savia,M1_Tratamientos,M1,2.680754064048759,176644.13241203365,124
Potasio_savia,M1_Tratamientos,M1,5.180440049782566,216183.32637994413,260
Potasio_savia,M1_Tratamientos,M1,8.384312068734898,197088.18889204276,293
Potasio_savia,M1_Tratamientos,M1,12.162226523739639,155661.0327459598,255
Potasio_savia,M1_Tratamientos,M1,15.718064732803336,189384.98690393873,153
Potasio_savia,M1_Tratamientos,M1,19.034863175121963,218861.58411793434,153
Calcio_savia,M1_Tratamientos,M1,2.680754064048759,66923.5298066001,124
Calcio_savia,M1_Tratamientos,M1,5.180440049782566,60479.62130318637,260
Calcio_savia,M1_Tratamientos,M1,8.384312068734898,53043.59410075872,293
Calcio_savia,M1_Tratamientos,M1,12.162226523739639,55740.159228527125,255
Calcio_savia,M1_Tratamientos,M1,15.718064732803336,53469.3810515077,153
Calcio_savia,M1_Tratamientos,M1,19.034863175121963,67829.65433993589,153
Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,2.680754064048759,28.488647797863187,124
Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,5.180440049782566,32.412595838728976,260
Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,8.384312068734898,28.002991253961767,293
Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,12.162226523739639,28.00178892239077,255
Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,15.718064732803336,26.824685167679295,153
Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,19.034863175121963,31.138233489573977,153
Calcio_savia,M2_CE_corregida,Mejor_M2,2.680754064048759,77104.52388357761,124
Calcio_savia,M2_CE_corregida,Mejor_M2,5.180440049782566,70042.37852608848,260
Calcio_savia,M2_CE_corregida,Mejor_M2,8.384312068734898,59578.47105607096,293
Calcio_savia,M2_CE_corregida,Mejor_M2,12.162226523739639,65654.72379019864,255
Calcio_savia,M2_CE_corregida,Mejor_M2,15.718064732803336,57107.83687220523,153
Calcio_savia,M2_CE_corregida,Mejor_M2,19.034863175121963,78685.71384988482,153
Diametro,M2_Indice_N,Mejor_M2,2.680754064048759,0.18093539022161714,124
Diametro,M2_Indice_N,Mejor_M2,5.180440049782566,0.17735114652004672,260
Diametro,M2_Indice_N,Mejor_M2,8.384312068734898,0.16176579685885395,293
Diametro,M2_Indice_N,Mejor_M2,12.162226523739639,0.1934633887789708,255
Diametro,M2_Indice_N,Mejor_M2,15.718064732803336,0.17478246125445346,153
Diametro,M2_Indice_N,Mejor_M2,19.034863175121963,0.16342762191485494,153
Macollas,M2_Exploratorio_pH_T_Hv,Mejor_M2,2.680754064048759,0.9424676444170439,124
Macollas,M2_Exploratorio_pH_T_Hv,Mejor_M2,5.180440049782566,0.9482719468862154,260
Macollas,M2_Exploratorio_pH_T_Hv,Mejor_M2,8.384312068734898,1.2699695251765921,293
Macollas,M2_Exploratorio_pH_T_Hv,Mejor_M2,12.162226523739639,1.445143703346291,255
Macollas,M2_Exploratorio_pH_T_Hv,Mejor_M2,15.718064732803336,1.4500822754218716,153
Macollas,M2_Exploratorio_pH_T_Hv,Mejor_M2,19.034863175121963,1.2335288728556995,153
NDVI,M2_Indice_K,Mejor_M2,2.680754064048759,1.6196254423486912e-4,124
NDVI,M2_Indice_K,Mejor_M2,5.180440049782566,1.5794845652355855e-4,260
NDVI,M2_Indice_K,Mejor_M2,8.384312068734898,2.097097028307137e-4,293
NDVI,M2_Indice_K,Mejor_M2,12.162226523739639,2.463630288926941e-4,255
NDVI,M2_Indice_K,Mejor_M2,15.718064732803336,2.695993826486609e-4,153
NDVI,M2_Indice_K,Mejor_M2,19.034863175121963,2.4304793059427767e-4,153
Nitratos,M2_Indice_N,Mejor_M2,2.680754064048759,622946.3911184642,124
Nitratos,M2_Indice_N,Mejor_M2,5.180440049782566,683755.5043141132,260
Nitratos,M2_Indice_N,Mejor_M2,8.384312068734898,651234.1912640865,293
Nitratos,M2_Indice_N,Mejor_M2,12.162226523739639,721663.9856784631,255
Nitratos,M2_Indice_N,Mejor_M2,15.718064732803336,675352.638914753,153
Nitratos,M2_Indice_N,Mejor_M2,19.034863175121963,722541.4517960004,153
Potasio_savia,M2_Indice_P,Mejor_M2,2.680754064048759,177222.0412680351,124
Potasio_savia,M2_Indice_P,Mejor_M2,5.180440049782566,202790.578438093,260
Potasio_savia,M2_Indice_P,Mejor_M2,8.384312068734898,176672.82128697535,293
Potasio_savia,M2_Indice_P,Mejor_M2,12.162226523739639,165072.61004279167,255
Potasio_savia,M2_Indice_P,Mejor_M2,15.718064732803336,177344.27640935205,153
Potasio_savia,M2_Indice_P,Mejor_M2,19.034863175121963,194998.50066574194,153
