Nodo,Variable,Valor,Limite_inferior,Limite_superior,Extremo_IQR
1,Macollas,8.666666666666666,3.291666666666667,10.291666666666668,FALSE
2,Macollas,8.333333333333334,3.291666666666667,10.291666666666668,FALSE
3,Macollas,7.333333333333333,3.291666666666667,10.291666666666668,FALSE
4,Macollas,7.666666666666667,3.291666666666667,10.291666666666668,FALSE
5,Macollas,8,3.291666666666667,10.291666666666668,FALSE
6,Macollas,5.666666666666667,3.291666666666667,10.291666666666668,FALSE
7,Macollas,6.666666666666667,3.291666666666667,10.291666666666668,FALSE
8,Macollas,5.666666666666667,3.291666666666667,10.291666666666668,FALSE
9,Macollas,4.666666666666667,3.291666666666667,10.291666666666668,FALSE
10,Macollas,6.333333333333333,3.291666666666667,10.291666666666668,FALSE
11,Macollas,6,3.291666666666667,10.291666666666668,FALSE
12,Macollas,5.666666666666667,3.291666666666667,10.291666666666668,FALSE
13,Macollas,7.666666666666667,3.291666666666667,10.291666666666668,FALSE
14,Macollas,7.333333333333333,3.291666666666667,10.291666666666668,FALSE
15,Macollas,7.333333333333333,3.291666666666667,10.291666666666668,FALSE
16,Macollas,6.666666666666667,3.291666666666667,10.291666666666668,FALSE
17,Macollas,5.333333333333333,3.291666666666667,10.291666666666668,FALSE
18,Macollas,6,3.291666666666667,10.291666666666668,FALSE
19,Macollas,6,3.291666666666667,10.291666666666668,FALSE
20,Macollas,5.666666666666667,3.291666666666667,10.291666666666668,FALSE
21,Macollas,6.666666666666667,3.291666666666667,10.291666666666668,FALSE
22,Macollas,7,3.291666666666667,10.291666666666668,FALSE
23,Macollas,6.333333333333333,3.291666666666667,10.291666666666668,FALSE
24,Macollas,6.333333333333333,3.291666666666667,10.291666666666668,FALSE
25,Macollas,6.333333333333333,3.291666666666667,10.291666666666668,FALSE
26,Macollas,7.666666666666667,3.291666666666667,10.291666666666668,FALSE
27,Macollas,7,3.291666666666667,10.291666666666668,FALSE
28,Macollas,9.333333333333334,3.291666666666667,10.291666666666668,FALSE
29,Macollas,9.333333333333334,3.291666666666667,10.291666666666668,FALSE
30,Macollas,8.666666666666666,3.291666666666667,10.291666666666668,FALSE
31,Macollas,9.333333333333334,3.291666666666667,10.291666666666668,FALSE
32,Macollas,7,3.291666666666667,10.291666666666668,FALSE
33,Macollas,6.666666666666667,3.291666666666667,10.291666666666668,FALSE
34,Macollas,7,3.291666666666667,10.291666666666668,FALSE
35,Macollas,7,3.291666666666667,10.291666666666668,FALSE
36,Macollas,5.333333333333333,3.291666666666667,10.291666666666668,FALSE
37,Macollas,5,3.291666666666667,10.291666666666668,FALSE
38,Macollas,4.666666666666667,3.291666666666667,10.291666666666668,FALSE
39,Macollas,6,3.291666666666667,10.291666666666668,FALSE
40,Macollas,5,3.291666666666667,10.291666666666668,FALSE
41,Macollas,7.666666666666667,3.291666666666667,10.291666666666668,FALSE
42,Macollas,7.333333333333333,3.291666666666667,10.291666666666668,FALSE
43,Macollas,7.666666666666667,3.291666666666667,10.291666666666668,FALSE
44,Macollas,7.666666666666667,3.291666666666667,10.291666666666668,FALSE
45,Macollas,5,3.291666666666667,10.291666666666668,FALSE
46,Macollas,4.666666666666667,3.291666666666667,10.291666666666668,FALSE
47,Macollas,5.333333333333333,3.291666666666667,10.291666666666668,FALSE
48,Macollas,6.333333333333333,3.291666666666667,10.291666666666668,FALSE
49,Macollas,7,3.291666666666667,10.291666666666668,FALSE
50,Macollas,4,3.291666666666667,10.291666666666668,FALSE
51,Macollas,6,3.291666666666667,10.291666666666668,FALSE
52,Macollas,7.666666666666667,3.291666666666667,10.291666666666668,FALSE
53,Macollas,8.666666666666666,3.291666666666667,10.291666666666668,FALSE
54,Macollas,9.666666666666666,3.291666666666667,10.291666666666668,FALSE
55,Macollas,10.666666666666666,3.291666666666667,10.291666666666668,TRUE
56,Macollas,8.333333333333334,3.291666666666667,10.291666666666668,FALSE
1,Altura,28.53333333333333,31.45833333333335,57.12499999999998,TRUE
2,Altura,39.13333333333333,31.45833333333335,57.12499999999998,FALSE
3,Altura,39.9,31.45833333333335,57.12499999999998,FALSE
4,Altura,48.333333333333336,31.45833333333335,57.12499999999998,FALSE
5,Altura,46.5,31.45833333333335,57.12499999999998,FALSE
6,Altura,44.43333333333334,31.45833333333335,57.12499999999998,FALSE
7,Altura,44.699999999999996,31.45833333333335,57.12499999999998,FALSE
8,Altura,42.63333333333333,31.45833333333335,57.12499999999998,FALSE
9,Altura,46.46666666666667,31.45833333333335,57.12499999999998,FALSE
10,Altura,48.800000000000004,31.45833333333335,57.12499999999998,FALSE
11,Altura,41.13333333333333,31.45833333333335,57.12499999999998,FALSE
12,Altura,47.86666666666667,31.45833333333335,57.12499999999998,FALSE
13,Altura,44.333333333333336,31.45833333333335,57.12499999999998,FALSE
14,Altura,62.333333333333336,31.45833333333335,57.12499999999998,TRUE
15,Altura,56.666666666666664,31.45833333333335,57.12499999999998,FALSE
16,Altura,45.333333333333336,31.45833333333335,57.12499999999998,FALSE
17,Altura,37.6,31.45833333333335,57.12499999999998,FALSE
18,Altura,49.53333333333333,31.45833333333335,57.12499999999998,FALSE
19,Altura,48.36666666666667,31.45833333333335,57.12499999999998,FALSE
20,Altura,46.4,31.45833333333335,57.12499999999998,FALSE
21,Altura,45.9,31.45833333333335,57.12499999999998,FALSE
22,Altura,46.03333333333333,31.45833333333335,57.12499999999998,FALSE
23,Altura,45.06666666666666,31.45833333333335,57.12499999999998,FALSE
24,Altura,38.733333333333334,31.45833333333335,57.12499999999998,FALSE
25,Altura,41.9,31.45833333333335,57.12499999999998,FALSE
26,Altura,40.93333333333333,31.45833333333335,57.12499999999998,FALSE
