Nodo,Experimental_Unit,Lote,Treatment_ID,Treatment_base,Dose_code,Dose_percent,Omission_description,Omission_public,Replication,Area_m2,Public_treatment_code,Public_unit_code,X,Y,Geometry_status,Observation_status,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,Nodo_suelo_mas_cercano,Distancia_suelo_mas_cercano_m,Dentro_lote_suelo_I2,Distancia_al_lote_m,Suelo_N,Suelo_P,Suelo_K,Suelo_pH,Suelo_T,Suelo_Hv,Suelo_CE,Suelo_CE_corregida_OLS,VarK_N,VarK_P,VarK_K,VarK_pH,VarK_T,VarK_Hv,VarK_CE,VarK_CE_corregida_OLS,SEK_N,SEK_P,SEK_K,SEK_pH,SEK_T,SEK_Hv,SEK_CE,SEK_CE_corregida_OLS,Flag_pH,Flag_Hv,Flag_NPK,Flag_CE_OLS,Diferencia_dias_suelo_cultivo,CRS,Dentro_lote_auditado,Diferencia_X_geometria_m,Diferencia_Y_geometria_m,Coordenadas_coherentes,Fila_completa_diseno,Fila_completa_cultivo,Fila_completa_suelo,Estado_auditoria
11,L2_NODE_11,Lote_2,T8-B,T8,B,75,Sin Mn,Minus_Mn,2,4,D75_Minus_Mn,D75_Minus_Mn_R2,587193.167,517562,Point_available,Observed,6,41.13333333333333,3.222222222222222,0.7,5900,4500,2000,11,0.7023595944654121,TRUE,0,9.041590553866788,12.667347528310373,26.27119483133049,6.212117508429258,15.845158233713603,14.586305647917328,131.81644067334886,389.32203475841084,10.616248720860348,21.342913991100694,87.26173089487341,0.03792079378684103,0.13586942418157721,4.482232022893932,2131.315369813151,1844.5641291456295,3.2582585411321103,4.619839173726797,9.341398765435153,0.19473262127039997,0.36860469907690707,2.11712824904254,46.16617127089002,42.94838913330312,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
12,L2_NODE_12,Lote_2,T7-B,T7,B,75,Sin Zn,Minus_Zn,2,4,D75_Minus_Zn,D75_Minus_Zn_R2,587191.101,517561,Point_available,Observed,5.666666666666667,47.86666666666667,3.2222222222222223,0.69,5400,4900,1800,12,1.2243953610138976,TRUE,0,10.742533285444937,15.39784089115294,31.321462867702863,6.534018154170608,16.24488757423928,14.779971419273359,159.69332848488125,415.25590348947674,16.197529853461006,32.54677341182856,132.54368123158224,0.12016837546369136,0.3076751085255105,4.915806897491207,3251.263913820942,2813.8326569407463,4.024615491380637,5.704977950161469,11.512761668321907,0.34665310537148136,0.5546846928891318,2.2171619015063393,57.01985543493549,53.04557151111435,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
13,L2_NODE_13,Lote_2,T0-A,T0,A,100,Control,Control,3,4,D100_Control,D100_Control_R3,587189.132,517559,Point_available,Observed,7.666666666666667,44.333333333333336,3.3111111111111113,0.67,2800,4300,1000,13,0.9343446901487055,TRUE,0,9.964649182665944,13.920440598608678,28.80742594513706,6.823911223043582,16.587488417945256,15.030052093858945,145.5237110627009,402.07390840162464,13.348751724445377,26.82927151752165,109.47140964028922,0.06965422760923175,0.22894966972006559,4.841699640176698,2679.6607195748256,2319.1340482106752,3.653594356855366,5.179698014124149,10.462858578815315,0.26392087376566437,0.4784868542813539,2.200386247952095,51.76543943187217,48.157388303464664,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
14,L2_NODE_14,Lote_2,T11-A,T11,A,100,Sin Mo,Minus_Mo,3,4,D100_Minus_Mo,D100_Minus_Mo_R3,587187.054,517557,Point_available,Observed,7.333333333333333,62.333333333333336,3.533333333333333,0.72,4500,4800,2000,14,0.9968680956009647,TRUE,0,14.866279584705195,20.866984207334028,42.67746640007951,7.041364067333705,16.34828161043097,14.691481955342187,213.67980437274474,465.479522007962,14.925444006346149,29.987613410315223,122.03190174564529,0.09440831657535574,0.20761250097463474,4.873531048349022,2995.82223417287,2592.7585887662062,3.8633462188038687,5.476094722547741,11.046805046964723,0.30725936369027995,0.4556451480863532,2.207607539475489,54.7341048540384,50.919137745706244,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
15,L2_NODE_15,Lote_2,T8-A,T8,A,100,Sin Mn,Minus_Mn,3,4,D100_Minus_Mn,D100_Minus_Mn_R3,587188.6,517555,Point_available,Observed,7.333333333333333,56.666666666666664,4.022222222222222,0.72,4900,4800,1700,14,1.8309696884186637,TRUE,0,15.339998739322306,21.65602791257174,44.04155765452988,6.8348240819865955,16.45210968892871,14.771259660054069,221.56053182485203,472.8109627566596,19.23137133671544,38.64193237467847,157.32730311965386,0.16883950241926216,0.39427599308596684,4.924344718064759,3860.2044591963586,3340.8451782648,4.385358746638118,6.216263538065167,12.543018102500445,0.4109008425633393,0.6279140013456993,2.219086460249974,62.13054368984999,57.80004479466084,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
16,L2_NODE_16,Lote_2,T10-A,T10,A,100,Sin Cu,Minus_Cu,3,4,D100_Minus_Cu,D100_Minus_Cu_R3,587190.678,517557,Point_available,Observed,6.666666666666667,45.333333333333336,3.2777777777777777,0.71,5300,5700,1900,13,1.5984855332269634,TRUE,0,12.275055004772081,17.16568873879705,35.39507101505339,6.543405977416025,16.404440793303923,14.774624934352808,178.32928128728045,432.5929303815548,16.657934217547073,33.48307393200196,136.69990672395664,0.10511214988089555,0.3791207654467394,4.923961695376342,3344.0453430036096,2894.131095428555,4.08141326228392,5.786456077082238,11.69187353352561,0.32421003975956014,0.6157278339061337,2.2190001566868673,57.827721233017726,53.797129063069484,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
17,L2_NODE_17,Lote_2,T1-B,T1,B,75,Completo,Complete,2,4,D75_Complete,D75_Complete_R2,587192.647,517559,Point_available,Observed,5.333333333333333,37.6,3.255555555555555,0.7,5900,4700,2300,12,1.3123856140168129,TRUE,0,11.948453872332482,16.984244434043607,34.49482236840592,7.150641894744437,16.108180467084274,14.776197480845244,175.6150853678236,430.0679139176843,15.347711046806277,30.851815551001355,126.03163226381129,0.08266762266156864,0.32957083332743775,4.920051521939334,3081.0972562273705,2666.560546478078,3.917615479702708,5.554441065579988,11.226381084918296,0.2875197778615736,0.5740826014846973,2.2181189151935325,55.5076324141768,51.638750434901866,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
18,L2_NODE_18,Lote_2,T5-B,T5,B,75,Sin Mg y S,Minus_MgS,2,4,D75_Minus_MgS,D75_Minus_MgS_R2,587194.713,517560,Point_available,Observed,6,49.53333333333333,3.3444444444444446,0.71,5200,5600,1800,11,1.8861338764938198,TRUE,0,12.633121782604167,17.738206878881982,36.220590190047126,6.911888973434174,16.411153349030926,14.771366557204301,181.8089981297853,435.8301109601372,17.670568329705905,35.5163656746216,144.9324625887533,0.12552230299596245,0.4066462461606925,4.924366977706293,3547.259601933543,3070.004519822789,4.203637511692214,5.9595608625654295,12.038789913805843,0.3542912685855558,0.637688204501771,2.2190914757409828,59.55887508955775,55.40762149580858,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
19,L2_NODE_19,Lote_2,T11-B,T11,B,75,Sin Mo,Minus_Mo,2,4,D75_Minus_Mo,D75_Minus_Mo_R2,587196.236,517562,Point_available,Observed,6,48.36666666666667,3.6222222222222222,0.7,5600,5600,1800,10,1.3732956709916333,TRUE,0,11.259529776952602,16.05217296569518,33.216993375202875,6.619416589371271,16.35445327649193,14.728083828448181,166.27803468695151,421.3816556692683,15.52713766448867,31.212549458015754,127.50661306312054,0.09523958868991383,0.3260360895535114,4.921691609364768,3117.119401481105,2697.736203507069,3.9404489166196117,5.586819261262687,11.291882618196158,0.30860911958319354,0.5709957001182333,2.2184885867105035,55.831168727522666,51.93973626720749,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
20,L2_NODE_20,Lote_2,T9-A,T9,A,100,Sin B,Minus_B,2,4,D100_Minus_B,D100_Minus_B_R2,587198.569,517564,Point_available,Observed,5.666666666666667,46.4,3.4222222222222225,0.71,5700,5000,1300,9,1.2439087587676132,TRUE,0,8.319925793702573,12.215007861599805,25.14689648991577,8.618405408688286,15.996168585176823,14.736776045855486,127.48522014555596,385.2927003014059,14.923232068637166,29.999323483159962,122.57420897584565,0.07685162960927845,0.3145247538839137,4.917012318053172,2995.9077466937547,2592.8325962690938,3.863059935936429,5.477163817447855,11.071323722836652,0.27722126471336656,0.5608250653135197,2.217433723486042,54.734886011516956,50.91986445650748,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
