Funcion,r,Observado,Limite_inferior,Limite_superior,Posicion
G,0,0,0,0,Dentro_envolvente
G,0.009573831129158024,0,0,0,Dentro_envolvente
G,0.01914766225831605,0,0,0.0357142857142857,Dentro_envolvente
G,0.028721493387474074,0,0,0.0357142857142857,Dentro_envolvente
G,0.0382953245166321,0,0,0.0357142857142857,Dentro_envolvente
G,0.04786915564579012,0,0,0.0357142857142857,Dentro_envolvente
G,0.05744298677494815,0,0,0.0357142857142857,Dentro_envolvente
G,0.06701681790410617,0,0,0.036363636363636376,Dentro_envolvente
G,0.0765906490332642,0,0,0.07272727272727275,Dentro_envolvente
G,0.08616448016242222,0,0,0.07272727272727275,Dentro_envolvente
G,0.09573831129158024,0,0,0.07272727272727275,Dentro_envolvente
G,0.10531214242073826,0,0,0.07272727272727275,Dentro_envolvente
G,0.1148859735498963,0,0,0.07272727272727275,Dentro_envolvente
G,0.12445980467905432,0,0,0.07272727272727275,Dentro_envolvente
G,0.13403363580821234,0,0,0.09357142857142864,Dentro_envolvente
G,0.14360746693737036,0,0,0.09357142857142864,Dentro_envolvente
G,0.1531812980665284,0,0,0.09357142857142864,Dentro_envolvente
G,0.1627551291956864,0,0,0.1071428571428571,Dentro_envolvente
G,0.17232896032484443,0,0,0.10784313725490191,Dentro_envolvente
G,0.18190279145400245,0,0,0.10784313725490191,Dentro_envolvente
G,0.19147662258316048,0,0,0.10784313725490191,Dentro_envolvente
G,0.2010504537123185,0,0,0.13298136645962733,Dentro_envolvente
G,0.21062428484147652,0,0,0.13298136645962733,Dentro_envolvente
G,0.22019811597063454,0,0,0.13298136645962733,Dentro_envolvente
G,0.2297719470997926,0,0,0.13298136645962733,Dentro_envolvente
G,0.23934577822895062,0,0,0.13298136645962733,Dentro_envolvente
G,0.24891960935810864,0,0,0.13298136645962733,Dentro_envolvente
G,0.25849344048726663,0,0,0.13298136645962733,Dentro_envolvente
G,0.2680672716164247,0,0,0.1428571428571428,Dentro_envolvente
G,0.2776411027455827,0,0,0.1428571428571428,Dentro_envolvente
G,0.28721493387474073,0,0,0.14755244755244745,Dentro_envolvente
G,0.2967887650038987,0,0,0.14973262032085555,Dentro_envolvente
G,0.3063625961330568,0,0,0.14973262032085555,Dentro_envolvente
G,0.3159364272622148,0,0,0.14973262032085555,Dentro_envolvente
G,0.3255102583913728,0,0,0.15384615384615374,Dentro_envolvente
G,0.33508408952053087,0,0,0.15384615384615374,Dentro_envolvente
G,0.34465792064968886,0,0,0.1793313069908814,Dentro_envolvente
G,0.3542317517788469,0,0,0.18461538461538451,Dentro_envolvente
G,0.3638055829080049,0,0,0.22254025044722714,Dentro_envolvente
G,0.37337941403716296,0,0,0.22254025044722714,Dentro_envolvente
G,0.38295324516632095,0,0,0.22254025044722714,Dentro_envolvente
G,0.392527076295479,0,0,0.2614132379248658,Dentro_envolvente
G,0.402100907424637,0,0,0.2614132379248658,Dentro_envolvente
G,0.41167473855379505,0,0,0.2614132379248658,Dentro_envolvente
