X,Y,Densidad_nodos_m2
587185.0977943204,517557.1921597078,0.12548615227109644
587185.2015985446,517557.0881247703,0.12857278679256795
587185.2015985446,517557.1921597078,0.12783903107649844
587185.2015985446,517557.2961946452,0.12698797338022977
587185.3054027688,517556.98408983287,0.13147825750510772
587185.3054027688,517557.0881247703,0.1308452458741602
587185.3054027688,517557.1921597078,0.13009183770977695
587185.3054027688,517557.2961946452,0.12921980818885695
587185.3054027688,517557.4002295827,0.12823165589085458
587185.409206993,517556.8800548954,0.13419130879679866
587185.409206993,517556.98408983287,0.13366208212544037
587185.409206993,517557.0881247703,0.13301052307801667
587185.409206993,517557.1921597078,0.13223766365624637
587185.409206993,517557.2961946452,0.13134530804663572
587185.409206993,517557.4002295827,0.13033601537911657
587185.409206993,517557.50426452013,0.12921307419210232
587185.5130112171,517556.77601995796,0.13670457795691437
587185.5130112171,517556.8800548954,0.13627999973659408
587185.5130112171,517556.98408983287,0.13573245677429835
587185.5130112171,517557.0881247703,0.13506216962296413
587185.5130112171,517557.1921597078,0.13427016778224882
587185.5130112171,517557.2961946452,0.13335828219288703
587185.5130112171,517557.4002295827,0.13232912803813687
587185.5130112171,517557.50426452013,0.13118607838605095
587185.5130112171,517557.6082994576,0.12993322929048184
587185.6168154413,517556.56795008306,0.13921593461648116
587185.6168154413,517556.6719850205,0.1390151704113774
587185.6168154413,517556.77601995796,0.13869367463529467
587185.6168154413,517556.8800548954,0.13824999742349922
587185.6168154413,517556.98408983287,0.13768350239174731
587185.6168154413,517557.0881247703,0.13699438265313005
587185.6168154413,517557.1921597078,0.13618366546286345
587185.6168154413,517557.2961946452,0.13525320579660177
587185.6168154413,517557.4002295827,0.13420566930474048
587185.6168154413,517557.50426452013,0.13304450520546557
587185.6168154413,517557.6082994576,0.13177390978350695
587185.7206196655,517556.4639151456,0.14123010302538183
587185.7206196655,517556.56795008306,0.1411251232138595
587185.7206196655,517556.6719850205,0.14090253333686678
587185.7206196655,517556.77601995796,0.1405600270163269
587185.7206196655,517556.8800548954,0.140096095860502
587185.7206196655,517556.98408983287,0.13951006102391408
587185.7206196655,517557.0881247703,0.13880209235594385
587185.7206196655,517557.1921597078,0.13797321523931927
587185.7206196655,517557.2961946452,0.13702530540077287
587185.7206196655,517557.4002295827,0.1359610721393607
587185.7206196655,517557.50426452013,0.13478403056292743
587185.7206196655,517557.6082994576,0.13349846355012532
587185.7206196655,517557.71233439504,0.1321093742647449
587185.8244238896,517556.35988020815,0.14305921298101312
587185.8244238896,517556.4639151456,0.14304170803987368
587185.8244238896,517556.56795008306,0.14291115284558012
587185.8244238896,517556.6719850205,0.14266443374743312
587185.8244238896,517556.77601995796,0.14229919327045448
587185.8244238896,517556.8800548954,0.14181387896078748
587185.8244238896,517556.98408983287,0.14120777912621932
587185.8244238896,517557.0881247703,0.14048104528357708
587185.8244238896,517557.1921597078,0.13963470135322326
587185.8244238896,517557.2961946452,0.13867063985213662
587185.8244238896,517557.4002295827,0.13759160552946945
587185.8244238896,517557.50426452013,0.13640116706104988
587185.8244238896,517557.6082994576,0.1351036775717093
587185.8244238896,517557.71233439504,0.1337042248866316
587185.8244238896,517557.8163693325,0.13220857252558055
587185.9282281138,517556.2558452707,0.14471840555949167
587185.9282281138,517556.35988020815,0.1447775245533954
587185.9282281138,517556.4639151456,0.1447294762557844
587185.9282281138,517556.56795008306,0.14457043661463104
587185.9282281138,517556.6719850205,0.14429726684946304
587185.9282281138,517556.77601995796,0.14390758065225395
587185.9282281138,517556.8800548954,0.14339979809332223
587185.9282281138,517556.98408983287,0.14277318566445946
587185.9282281138,517557.0881247703,0.14202788216654263
587185.9282281138,517557.1921597078,0.14116491041019066
587185.9282281138,517557.2961946452,0.140186174942152
587185.9282281138,517557.4002295827,0.13909444623457404
587185.9282281138,517557.50426452013,0.1378933319773683
587185.9282281138,517557.6082994576,0.13658723629457314
587185.9282281138,517557.71233439504,0.13518130786346988
587185.9282281138,517557.8163693325,0.13368137805023725
587185.9282281138,517557.92040426994,0.1320938902884389
587186.032032338,517556.15181033325,0.14622771698312523
587186.032032338,517556.2558452707,0.14635033881875772
587186.032032338,517556.35988020815,0.1463727958458579
587186.032032338,517556.4639151456,0.14629070206507314
587186.032032338,517556.56795008306,0.14610025535885537
587186.032032338,517556.6719850205,0.14579832315924068
